#{"t_start": 1651864506.0612915, "env_id": "Hopper-v3"}
r,l,t
17.143241,30,5.621566
11.229388,28,5.659598
37.271787,45,6.001509
8.602406,12,6.025315
7.999767,15,6.049412
14.085884,15,6.071199
22.217874,21,6.105386
12.058208,20,6.135131
14.726343,15,6.182699
9.807329,12,6.201347
9.366607,12,6.219713
8.35984,11,6.236875
11.501526,15,6.260586
10.686725,14,6.280408
11.710753,19,6.307469
9.451676,16,6.329286
6.673437,11,6.384959
12.773864,14,6.406605
22.896526,42,6.459768
12.929111,14,6.486371
20.885279,36,6.578916
15.189588,29,6.616198
84.10155,58,6.701941
6.813613,10,6.718016
20.08809,24,6.754118
32.496925,27,6.780878
14.680868,17,6.79998
24.01184,23,6.868787
7.315553,11,6.8828
30.443319,25,6.905451
34.692953,28,6.932247
16.117861,22,6.955811
13.40657,22,7.031932
9.727232,20,7.05241
7.065609,10,7.064029
7.805685,10,7.074991
7.883853,10,7.086613
10.441484,16,7.101779
9.787407,16,7.119313
45.709863,41,7.217281
7.507266,12,7.235521
9.216269,12,7.247733
11.96183,31,7.274822
10.788435,13,7.358972
20.336161,18,7.378357
18.576419,22,7.399628
14.256027,32,7.430159
7.027369,10,7.444483
8.318026,12,7.458481
22.372577,22,7.557286
10.524607,15,7.573441
9.652217,23,7.595659
11.809283,19,7.616196
10.205266,15,7.632288
29.037145,28,7.742328
17.130006,21,7.764193
17.615184,18,7.783904
29.526396,29,7.810733
13.133512,20,7.920726
14.34625,16,7.936783
7.416995,11,7.949679
22.301379,24,7.971199
11.706485,25,7.995306
14.627685,20,8.114709
19.139191,21,8.139697
205.249386,97,8.325258
21.272659,22,8.358512
6.107491,9,8.369545
15.75605,30,8.397202
14.521008,16,8.415076
18.699071,19,8.546225
12.707779,20,8.565557
10.321673,16,8.58401
6.828284,10,8.595622
22.043419,24,8.617625
14.159705,16,8.763205
5.988082,11,8.777691
16.143985,19,8.795837
5.441696,10,8.808336
10.906594,12,8.819898
38.334554,40,8.857182
18.4216,23,9.014258
10.891999,17,9.031528
10.233479,17,9.048897
8.00054,24,9.07354
135.998587,75,9.277197
20.418775,21,9.306412
67.668653,44,9.488002
10.934545,18,9.512474
16.546226,22,9.534658
16.819948,20,9.555507
12.034362,15,9.571485
14.013164,15,9.738307
8.657234,12,9.757365
11.221153,15,9.778198
8.017413,11,9.796362
8.491634,11,9.814121
34.268476,44,9.867402
5.406302,8,10.095245
21.73485,27,10.130469
9.988704,12,10.155606
20.076392,31,10.194452
12.263387,17,10.221589
12.300697,15,10.467711
9.375266,25,10.503796
7.86421,11,10.52229
20.67265,21,10.54826
8.251991,12,10.568625
10.488524,22,10.850256
14.288822,24,10.883772
11.9368,27,10.920165
8.011397,16,10.945856
17.068398,17,10.970329
9.122272,34,11.265236
