#{"t_start": 1651764243.4421182, "env_id": "Walker2d-v3"}
r,l,t
-2.406846,12,6.531719
8.887447,24,6.568354
3.019744,17,6.59192
2.572258,36,6.635583
1.036727,20,6.932504
-3.354327,13,6.951827
8.851656,24,6.976088
-2.618114,18,6.99932
-2.05816,13,7.028538
3.189868,16,7.050477
-1.733913,13,7.094309
4.652566,22,7.117386
-6.356555,11,7.141631
-0.502009,50,7.193017
4.723568,21,7.261651
3.896986,20,7.284805
-2.20819,10,7.302338
0.727421,18,7.325448
0.427248,14,7.343696
15.082575,32,7.421093
1.336837,15,7.44617
1.712396,16,7.465731
3.872074,16,7.485628
-1.822733,9,7.497616
-1.098121,17,7.519738
2.821698,17,7.541733
-1.546343,9,7.609982
-2.664359,12,7.624487
6.177975,20,7.64927
-6.271955,22,7.674357
-3.500988,8,7.6878
2.810627,12,7.702886
3.530915,13,7.721119
0.874031,13,7.803103
2.146558,12,7.817866
0.212834,12,7.831725
-6.312611,14,7.850837
2.360111,19,7.874281
-3.661139,21,7.898113
-5.046091,21,7.996659
3.412396,32,8.035023
0.880134,14,8.053651
4.847449,16,8.073036
-0.532763,12,8.090225
-1.985292,15,8.109949
17.984211,30,8.224723
5.130158,24,8.254243
2.896367,18,8.277457
0.111587,13,8.295756
1.233106,13,8.312364
3.337122,25,8.43347
3.578757,20,8.456444
-0.93291,24,8.490423
13.767774,41,8.532646
26.054303,52,8.693277
-1.520405,27,8.729361
0.447959,18,8.760076
3.87233,17,8.967677
12.713015,37,9.035065
-3.23562,10,9.0648
0.394355,10,9.091222
1.73664,30,9.149106
-0.521104,13,9.376818
-2.832718,12,9.406113
0.144613,15,9.439218
4.532207,27,9.500212
6.730928,26,9.553705
12.037175,38,9.840745
9.122297,19,9.888279
3.680945,18,9.929038
-3.560865,8,9.94874
7.714525,28,10.214741
10.478513,34,10.304953
0.943165,12,10.340245
-1.403525,10,10.360146
-4.969594,21,10.405863
1.8347,18,10.454159
0.469049,15,10.763848
-1.440739,20,10.803587
-1.579504,18,10.844747
-0.952479,15,10.888947
8.435331,33,11.018511
2.217858,19,11.245274
9.897617,20,11.273626
2.859825,16,11.302736
7.195291,39,11.367555
-2.613054,29,11.773391
-9.874566,21,11.836628
-8.83784,38,11.928356
12.977687,23,12.282
-2.434239,10,12.301542
-2.204881,13,12.316643
-4.627141,19,12.342649
3.378005,22,12.371864
6.725298,21,12.397934
-1.889019,13,12.589206
9.263196,30,12.620203
4.93392,29,12.656613
3.623263,20,12.683482
21.090417,51,12.918879
-0.103333,17,12.949732
1.41597,17,12.969628
16.257912,39,13.198372
1.748534,13,13.219768
0.638817,16,13.239069
-4.494348,15,13.259578
-2.910405,14,13.277529
1.953272,34,13.312073
5.087099,17,13.538935
-0.572051,20,13.561001
-1.330646,17,13.581039
0.513424,11,13.597075
-2.50901,14,13.618712
-3.856469,14,13.634805
-5.331605,57,13.905098
16.999781,34,13.949635
-0.574539,10,13.97111
-1.43863,10,14.221984
-8.835963,23,14.246917
1.670472,16,14.271799
1.626251,16,14.292127
-6.523538,22,14.316669
8.828539,30,14.600024
0.927856,28,14.636024
-0.537517,15,14.657729
-4.24662,13,14.676753
-2.696259,9,14.694101
0.504721,20,14.716588
-0.102586,13,14.997869
4.012659,22,15.025542
-6.655758,13,15.044916
0.662347,26,15.075156
-3.865748,13,15.095825
-1.879522,18,15.115861
1.092704,20,15.40422
0.803812,16,15.423528
18.569085,35,15.463263
7.657809,31,15.766001
-6.612535,17,15.790247
5.173285,18,15.812836
1.880281,21,15.838288
-1.951219,24,15.868796
4.283642,37,16.176402
19.506298,37,16.221327
4.961308,20,16.249247
-1.181328,13,16.267867
11.189528,26,16.578293
-2.116087,23,16.608467
-1.59921,17,16.63236
-3.014114,11,16.650167
2.313502,14,16.665729
27.959157,36,17.09622
-3.91165,14,17.138866
13.580907,25,17.191042
5.676268,24,17.242628
-0.324348,29,17.80921
1.889537,25,17.908533
1.561514,11,17.951982
9.500429,23,18.009703
2.945994,16,18.045776
-2.134495,19,18.697408
-1.367169,26,18.823561
-5.9726,24,18.939668
0.803524,13,19.013389
0.504554,12,19.092876
0.559684,13,19.154614
-4.392681,20,19.782481
-4.957408,23,19.806775
11.281646,45,19.857669
-1.589785,16,19.884463
0.098737,20,20.217644
2.759455,15,20.235831
8.393613,33,20.274773
-7.86415,13,20.294148
-1.984408,25,20.320679
3.257155,17,20.660729
12.673958,27,20.691555
0.741302,22,20.719744
0.941587,44,21.089623
-0.975779,11,21.107967
-4.492195,34,21.145422
0.448582,17,21.167987
-1.230159,27,21.197855
2.771764,16,21.551545
-5.504011,23,21.578928
-4.39562,30,21.612447
9.783841,34,22.001805
-4.14951,34,22.040854
9.505226,34,22.084314
2.903024,29,22.12049
3.526996,21,22.518018
-5.779851,19,22.54177
-0.118576,12,22.56058
-5.294408,18,22.582293
-0.795753,13,22.600377
5.05987,19,22.622812
1.818254,27,23.029473
4.078022,15,23.050434
-5.52016,24,23.076993
2.176798,15,23.099016
4.681312,22,23.526318
-4.338091,26,23.555978
-0.141728,12,23.574563
5.494928,27,23.602533
-6.663568,19,23.633073
2.539704,12,23.657913
-3.854082,18,24.076297
-0.553093,13,24.092851
11.521836,28,24.127534
-2.130395,9,24.143396
1.890968,25,24.169683
-3.003268,19,24.607227
9.924979,35,24.651252
-3.242841,26,24.684742
1.694167,32,25.374873
4.058523,18,25.42044
3.57666,16,25.461734
8.972827,27,25.513232
6.797302,27,25.567709
1.938323,19,26.293032
-2.692121,23,26.343112
-1.357554,24,26.395122
2.711754,14,26.429108
1.378364,21,26.474153
-1.807915,10,27.2038
-1.083231,14,27.235688
-3.007029,11,27.269471
2.969717,26,27.297438
-2.353224,8,27.31035
31.464078,60,27.782284
-0.323202,31,27.821182
4.680809,17,27.844171
2.818574,14,27.862398
1.976076,14,27.880179
4.054139,13,28.317368
0.410374,29,28.351513
0.432517,10,28.36824
3.251617,14,28.384169
3.455222,16,28.402391
-2.334433,11,28.417552
0.149778,11,28.905336
-1.495795,9,28.918703
-6.165587,22,28.942773
9.910041,32,28.977597
1.25939,13,28.998698
0.553243,11,29.014995
3.11455,16,29.601364
-1.191829,9,29.614502
0.16749,26,29.643971
-0.251636,18,29.670131
3.216699,19,29.693687
1.298319,16,29.715797
2.211837,15,30.159089
7.44551,31,30.189009
4.300832,14,30.2056
2.920919,20,30.224443
11.306248,25,30.251012
2.887438,14,30.690971
7.72015,17,30.708426
1.571991,26,30.733789
1.147749,25,30.760609
-1.701785,17,30.780471
6.664936,17,31.220471
-0.57693,16,31.236934
3.091437,23,31.259917
6.096915,38,31.295453
3.920659,23,31.790056
9.225954,33,31.827489
-2.44358,15,31.849557
-0.03711,23,31.872781
2.630664,29,32.337379
-0.312947,13,32.352752
3.181345,20,32.37367
-0.800509,10,32.385946
4.945278,36,32.428625
-1.746339,26,33.128354
-3.036343,9,33.146019
8.407847,20,33.173398
-2.4497,12,33.192294
2.987316,18,33.218382
7.118872,34,33.902472
-2.646905,20,33.937246
4.928296,28,33.979337
11.229152,24,34.019004
-1.867232,12,34.045874
3.849054,22,34.549727
-3.739881,14,34.565694
-1.489935,20,34.586807
-1.253375,15,34.604027
-4.796993,17,34.62112
0.758066,14,34.636076
-0.256014,11,35.095541
-0.897469,30,35.125472
5.787556,17,35.14481
3.715018,13,35.158473
1.846031,31,35.187553
1.237956,36,35.681124
5.324744,17,35.70153
-2.252292,26,35.726441
-1.573069,30,36.225046
7.906123,19,36.248957
0.129858,12,36.262737
-0.615764,28,36.288952
-5.448287,24,36.318602
-1.237362,21,36.857691
4.507952,37,36.892319
0.318862,36,36.929053
2.04658,12,36.945435
-4.468397,12,37.456828
0.156285,18,37.473464
-2.488232,20,37.492999
3.775589,13,37.507693
-0.471328,11,37.521467
-1.269204,12,37.533752
0.74019,17,38.237048
6.813696,22,38.271846
6.553715,26,38.332865
1.433031,17,38.36492
-1.955991,22,38.39344
13.384053,38,39.217834
0.984882,21,39.257807
5.037775,22,39.306922
3.293651,13,39.357462
0.314517,28,40.49811
2.480074,21,40.60958
-1.423126,24,40.722713
