#{"t_start": 1651845390.4656656, "env_id": "InvertedPendulum-v2"}
r,l,t
3.0,3,5.791604
5.0,5,5.798531
10.0,10,5.813407
3.0,3,5.825207
8.0,8,5.836648
3.0,3,5.843364
3.0,3,5.848821
3.0,3,5.858569
10.0,10,5.877292
5.0,5,5.892869
3.0,3,5.903063
3.0,3,5.911692
3.0,3,5.921297
8.0,8,5.940768
12.0,12,5.968637
8.0,8,5.988709
3.0,3,6.005849
3.0,3,6.013447
4.0,4,6.023
9.0,9,6.341238
8.0,8,6.358342
4.0,4,6.372807
5.0,5,6.383323
9.0,9,6.402629
3.0,3,6.410291
3.0,3,6.418113
7.0,7,6.431267
4.0,4,6.441651
4.0,4,6.454052
3.0,3,6.462587
7.0,7,6.475773
3.0,3,6.483361
11.0,11,6.506247
6.0,6,6.523621
3.0,3,6.534116
9.0,9,6.554324
5.0,5,6.647831
7.0,7,6.659028
4.0,4,6.670406
5.0,5,6.680077
4.0,4,6.689123
4.0,4,6.70031
5.0,5,6.713833
8.0,8,6.729114
4.0,4,6.741188
10.0,10,6.761588
5.0,5,6.776598
11.0,11,6.803822
5.0,5,6.821112
6.0,6,6.83885
4.0,4,6.85264
3.0,3,6.86289
9.0,9,6.882282
4.0,4,7.038737
11.0,11,7.063589
6.0,6,7.082559
3.0,3,7.096474
11.0,11,7.124046
7.0,7,7.147203
8.0,8,7.167866
14.0,14,7.201792
3.0,3,7.215788
4.0,4,7.227831
3.0,3,7.23811
5.0,5,7.253287
8.0,8,7.274076
5.0,5,7.292007
11.0,11,7.317029
4.0,4,7.520223
5.0,5,7.537141
7.0,7,7.556883
5.0,5,7.572786
6.0,6,7.594718
3.0,3,7.603526
4.0,4,7.612546
5.0,5,7.62708
4.0,4,7.639987
6.0,6,7.655606
8.0,8,7.679369
5.0,5,7.69317
3.0,3,7.702767
7.0,7,7.718935
12.0,12,7.746823
3.0,3,7.761319
5.0,5,7.77553
9.0,9,8.029207
8.0,8,8.054046
4.0,4,8.067595
4.0,4,8.080476
12.0,12,8.10893
5.0,5,8.125404
8.0,8,8.147545
9.0,9,8.17271
5.0,5,8.189897
8.0,8,8.210729
5.0,5,8.226212
3.0,3,8.238713
4.0,4,8.249833
4.0,4,8.264121
3.0,3,8.274241
11.0,11,8.301481
3.0,3,8.315838
4.0,4,8.614601
4.0,4,8.627302
6.0,6,8.64492
4.0,4,8.660641
5.0,5,8.674379
5.0,5,8.690196
8.0,8,8.708799
4.0,4,8.723349
12.0,12,8.749375
6.0,6,8.769826
5.0,5,8.787283
6.0,6,8.80301
3.0,3,8.816476
4.0,4,8.826142
4.0,4,8.841211
17.0,17,8.876056
5.0,5,8.897082
3.0,3,9.23717
10.0,10,9.256806
4.0,4,9.27535
4.0,4,9.290374
5.0,5,9.301381
3.0,3,9.312979
3.0,3,9.323524
3.0,3,9.333076
6.0,6,9.34334
3.0,3,9.353244
3.0,3,9.364159
3.0,3,9.377126
13.0,13,9.406128
10.0,10,9.438695
12.0,12,9.470867
5.0,5,9.491556
4.0,4,9.50283
4.0,4,9.514357
3.0,3,9.51967
11.0,11,9.85348
15.0,15,9.876652
3.0,3,9.89136
6.0,6,9.904966
6.0,6,9.918389
6.0,6,9.930876
11.0,11,9.947589
3.0,3,9.959275
11.0,11,9.974664
5.0,5,9.98367
6.0,6,9.99659
4.0,4,10.008446
4.0,4,10.021723
3.0,3,10.029546
4.0,4,10.038569
9.0,9,10.413815
5.0,5,10.42507
9.0,9,10.446472
3.0,3,10.459487
4.0,4,10.470242
12.0,12,10.497757
3.0,3,10.511203
3.0,3,10.524404
3.0,3,10.530287
4.0,4,10.537685
8.0,8,10.551445
5.0,5,10.568672
4.0,4,10.580123
3.0,3,10.591564
4.0,4,10.600763
4.0,4,10.608897
10.0,10,10.630609
7.0,7,10.647813
