#{"t_start": 1651896454.4628131, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
100.955709,11,6.083373
91.750618,10,6.106703
54.402926,6,6.127595
35.631339,4,6.141139
35.761626,4,6.156425
72.689157,8,6.176309
35.949105,4,6.188135
54.958804,6,6.202087
72.68436,8,6.224424
35.808722,4,6.239912
100.885844,11,6.2642
45.599041,5,6.283401
73.521809,8,6.305666
54.024685,6,6.323859
54.403158,6,6.635549
73.414317,8,6.658431
44.865465,5,6.676476
45.015438,5,6.689867
35.924119,4,6.698906
82.226377,9,6.714349
35.767119,4,6.726486
44.909732,5,6.74058
45.246866,5,6.754907
82.68119,9,6.777357
35.423729,4,6.791486
82.129177,9,6.815102
35.471904,4,6.829124
63.418637,7,6.843148
36.104899,4,6.852322
36.308351,4,6.861086
54.213832,6,6.87633
54.310393,6,6.89323
63.947539,7,6.999481
44.923114,5,7.013685
26.91682,3,7.023258
54.264735,6,7.038504
44.924962,5,7.050494
54.710176,6,7.066589
45.209145,5,7.084193
73.40161,8,7.100879
54.339999,6,7.121283
54.517646,6,7.138268
54.270167,6,7.158299
36.234296,4,7.171404
54.658317,6,7.19006
82.272088,9,7.214993
36.103527,4,7.230626
72.790633,8,7.250458
54.741972,6,7.266049
54.310077,6,7.414518
45.346742,5,7.432751
36.134643,4,7.448813
45.091133,5,7.464744
73.028201,8,7.490629
54.444103,6,7.510162
54.719071,6,7.529769
54.259588,6,7.551905
45.302537,5,7.569574
54.544508,6,7.585097
53.988485,6,7.606304
54.397766,6,7.625546
64.019598,7,7.647219
73.271331,8,7.663252
35.976273,4,7.679266
35.704415,4,7.700577
92.356548,10,7.889779
45.363683,5,7.909027
82.142637,9,7.929599
63.645161,7,7.952101
36.000945,4,7.96285
36.092078,4,7.97458
91.774154,10,7.9983
82.394095,9,8.018263
82.662105,9,8.039151
54.309416,6,8.062423
45.570512,5,8.080591
54.567061,6,8.10306
54.401585,6,8.124976
35.823585,4,8.138983
54.79944,6,8.153294
36.054059,4,8.168525
54.455988,6,8.393479
45.412706,5,8.408865
54.747637,6,8.426498
45.087764,5,8.439267
45.217453,5,8.456536
36.116633,4,8.47256
36.203287,4,8.487335
63.882859,7,8.509376
54.399364,6,8.527838
45.054447,5,8.538277
53.923956,6,8.554426
36.33918,4,8.568348
82.494221,9,8.591571
54.500897,6,8.609807
45.242744,5,8.626864
45.001714,5,8.639604
72.597038,8,8.662267
45.061691,5,8.683055
54.175081,6,8.942945
63.633424,7,8.964466
54.149448,6,8.976899
91.978961,10,8.994552
36.124476,4,9.011806
101.200929,11,9.043893
72.779349,8,9.069168
44.841614,5,9.084152
54.403658,6,9.102616
45.077761,5,9.122402
63.477452,7,9.140741
36.044577,4,9.151675
44.97494,5,9.171386
63.641134,7,9.192076
73.172569,8,9.215687
45.257805,5,9.230386
44.946226,5,9.536256
45.028619,5,9.549574
63.554534,7,9.567934
54.227728,6,9.58821
35.524356,4,9.601824
35.953374,4,9.617071
36.242439,4,9.631546
63.44391,7,9.642781
82.687854,9,9.66738
36.081683,4,9.684004
54.156413,6,9.695329
35.885128,4,9.705698
101.032,11,9.731639
54.367008,6,9.752685
35.430711,4,9.7596
54.297972,6,9.768087
73.00575,8,9.782857
54.686195,6,10.110778
45.491046,5,10.125095
64.116233,7,10.148396
91.66738,10,10.169975
54.229969,6,10.190464
82.350686,9,10.208446
36.007651,4,10.228025
64.146764,7,10.2436
73.004951,8,10.262097
44.812895,5,10.270113
44.962678,5,10.279343
45.207497,5,10.291395
73.234014,8,10.308784
91.644308,10,10.330895
45.623092,5,10.344077
36.154887,4,10.700116
44.923383,5,10.713186
36.062222,4,10.729094
44.95497,5,10.743656
45.388297,5,10.759419
45.053306,5,10.775468
35.887846,4,10.790119
110.591983,12,10.814188
45.114428,5,10.823637
54.622056,6,10.831427
36.031285,4,10.841119
36.106396,4,10.852702
35.976996,4,10.864267
63.931135,7,10.883156
45.614893,5,10.893822
54.6006,6,10.905789
54.292207,6,10.91955
63.754192,7,10.937848
63.454011,7,11.325423
63.595323,7,11.344917
35.609352,4,11.357704
44.782535,5,11.375247
44.921326,5,11.39094
54.51146,6,11.407892
63.877061,7,11.427744
35.758834,4,11.440987
45.585897,5,11.452024
45.297041,5,11.46268
45.436351,5,11.475972
73.214136,8,11.498226
36.183445,4,11.508596
35.783962,4,11.515177
63.618901,7,11.528162
45.178738,5,11.541312
45.200365,5,11.554186
35.406857,4,11.568077
54.575476,6,12.020092
73.03433,8,12.03847
72.818071,8,12.057014
45.177161,5,12.074251
45.111282,5,12.086321
63.596557,7,12.108042
45.113134,5,12.128495
73.433986,8,12.145084
45.05129,5,12.154408
36.09665,4,12.169766
35.444857,4,12.180746
72.707886,8,12.201601
54.633251,6,12.217146
44.92885,5,12.238676
54.518079,6,12.256383
63.977721,7,12.270991
45.209989,5,12.290036
63.301789,7,12.781814
45.25267,5,12.801867
91.749366,10,12.825763
54.367281,6,12.846815
54.799196,6,12.860767
63.866385,7,12.873664
44.924904,5,12.88798
45.081405,5,12.905094
35.787842,4,12.920984
