eval_eplenmean,eval_qs,eval mean 100 episode reward,eval_qs_difference,eval_ep_rewmean,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,discount_q,act_time,episodes,train_time,qs_abs_difference,fps,mean 100 episode reward,update_time,current_lr,qs_difference,ep_rewmean,env_time,eplenmean,n_updates,q_grad_norm,qfs_loss
7.0,-0.13028866,-5.0,4.505900631892369,-5.051005090909092,1,4.5059004,0,-4.774213927236277,,,,,,,,,,,,,,,,,,
,,,,,87,,,,0,0.5042813,-1.3761787039885116,0,4,0,4.146332937850874,113,4.1,0,0.0003,4.146332937850874,4.081490250000001,0,21.75,0,,
,,,,,164,,,,1,0.50728095,3.1558304954280345,0,8,0,2.380361083369762,146,3.6,0,0.0003,0.5719064088871717,3.571707375,0,20.5,0,,
,,,,,261,,,,1,0.4143217,1.7023906311480494,0,12,0,5.007352434032905,208,2.9,0,0.0003,4.55775630035675,2.9124185,0,21.75,0,,
,,,,,322,,,,1,0.33875015,4.257535790618959,0,16,0,2.7214305242095693,237,2.3,0,0.0003,0.7266401133400808,2.279445875,0,20.125,0,,
,,,,,384,,,,1,0.51525325,0.49909768871052645,0,20,0,0.5225009108623546,269,1.0,0,0.0003,0.38858882651124715,0.9624094999999999,0,19.2,0,,
,,,,,473,,,,1,0.40805593,0.3581584675163957,0,24,0,1.3500247120287223,302,1.5,0,0.0003,1.2417841470405944,1.4731973333333335,0,19.708333333333332,0,,
,,,,,539,,,,1,0.32253596,-0.1428984992757309,0,28,0,1.138585643907274,317,1.6,0,0.0003,1.138585643907274,1.5623423214285717,0,19.25,0,,
,,,,,630,,,,1,0.45942932,-0.670048596095813,0,32,0,4.228659797421391,339,1.4,0,0.0003,4.228659797421391,1.4254408125,0,19.6875,0,,
,,,,,684,,,,1,0.3509083,1.2310428309365238,0,36,0,1.6230361457250162,355,1.3,0,0.0003,1.2127333756772474,1.3242364722222222,0,19.0,0,,
,,,,,754,,,,2,0.45068657,0.3584853774892612,0,40,0,1.377817196082522,365,0.9,0,0.0003,1.3156986893530558,0.911809675,0,18.85,0,,
,,,,,834,,,,2,0.5411819,1.4451445414035093,0,44,0,3.5634366894554486,375,1.0,0,0.0003,3.051735949272841,1.0071992272727273,0,18.954545454545453,0,,
,,,,,919,,,,2,0.4357762,-3.0009423766266656,0,48,0,6.729154116602721,379,1.1,0,0.0003,6.729154116602721,1.07252475,1,19.145833333333332,0,,
,,,,,984,,,,2,0.3944525,3.3505051188547115,0,52,0,1.199840750626615,392,1.2,0,0.0003,-0.9094691754941192,1.2399975576923077,1,18.923076923076923,0,,
,,,,,1064,,,,2,0.589734,-1.9971751167665317,0,56,0,3.369656543872892,392,1.1,0,0.0003,3.369656543872892,1.131473375,1,19.0,0,,
,,,,,1143,,,,2,0.25609225,-0.5619670012691634,0,60,0,1.3653625685562147,390,1.1,0,0.0003,1.359755133997588,1.0790776999999998,1,19.05,0,,
,,,,,1221,,,,3,0.34292975,1.0920702826126263,0,64,0,3.9413592716131576,389,1.2,1,0.0003,3.585298176111248,1.22844265625,1,19.078125,0,,
,,,,,1299,,,,3,0.37937143,0.1862187958566789,0,68,0,1.2306520005615098,402,1.3,1,0.0003,1.2306520005615098,1.2695983088235294,1,19.102941176470587,0,,
,,,,,1375,,,,3,0.2952315,0.9817372418824252,0,72,0,0.8147293860545058,402,1.4,1,0.0003,0.5430456458157309,1.3635838888888887,1,19.09722222222222,0,,
,,,,,1464,,,,3,0.50428706,1.648285519534428,0,76,0,1.645101896347372,402,1.4,1,0.0003,0.9774414871698506,1.4366937499999999,1,19.263157894736842,0,,
,,,,,1540,,,,3,0.35720268,-1.0729165116608579,0,80,0,2.3509744428649344,392,1.4,1,0.0003,2.3509744428649344,1.38713695,1,19.25,0,,
,,,,,1621,,,,4,0.34824792,0.6507257034935907,0,84,0,1.3264864345735023,382,1.6,1,0.0003,1.274104206019895,1.5667570952380951,1,19.297619047619047,0,,
,,,,,1725,,,,4,0.4590565,-0.059397751427334125,0,88,0,3.2935704594748074,375,1.6,1,0.0003,3.2678618898303533,1.5984182727272724,1,19.602272727272727,0,,
,,,,,1807,,,,4,0.38507074,3.708358178881192,0,92,0,2.0881268604830447,365,1.7,2,0.0003,-1.8414383119698805,1.6864674999999998,1,19.641304347826086,0,,
,,,,,1862,,,,5,0.5966789,-0.47031084335479,0,96,0,1.2710107411877283,369,1.7,2,0.0003,1.22856870967556,1.6613549270833332,1,19.395833333333332,0,,
,,,,,1948,,,,5,0.43105167,3.6753141186897342,0,100,0,1.4624996185120764,357,1.7,2,0.0003,-1.1956229229539488,1.7195878,2,19.48,0,,
,,,,,2032,,,,5,0.39489207,2.9481755944324477,0,104,0,3.1857526690360594,353,1.7,2,0.0003,1.42461944905652,1.6702809099999996,2,19.45,0,,
,,,,,2105,,,,6,0.572629,-0.33868853493545936,0,108,0,4.0265660762367625,348,1.5,2,0.0003,4.0265660762367625,1.5119891600000002,2,19.41,0,,
,,,,,2198,,,,6,0.35680535,1.134838682805275,0,112,0,1.0440648832100874,357,1.5,2,0.0003,0.5708346364516103,1.4794143400000002,2,19.37,0,,
,,,,,2267,,,,6,0.3657467,-0.7727180941710777,0,116,0,1.742108670496442,353,1.7,2,0.0003,1.742108670496442,1.67619028,2,19.45,0,,
,,,,,2350,,,,6,0.32379213,2.1221453610401624,0,120,0,1.1335606222441987,350,1.9,3,0.0003,-0.7826522813405549,1.91051305,2,19.66,0,,
