eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,1597,,,,15.84021430992126,19.6,0,0,1,-18.640043685716353,18.640043685716353,4,338,23.485294117647058,1,68,0.0003,19.576380176470586,-0.561423,0,,
,,,,,1648,,,,4.51285997414935,19.0,0,0,1,-3.8974292693088115,3.8974292693088115,4,335,22.88888888888889,1,72,0.0003,18.982207944444447,-0.57903814,0,,
,,,,,1793,,,,35.71762726997463,20.7,0,0,1,-51.273538828899945,51.273538828899945,5,344,23.592105263157894,2,76,0.0003,20.720625460526318,-0.5382409,0,,
,,,,,1897,,,,10.28918413894928,20.8,0,0,1,-12.297127718658912,12.297127718658912,5,346,23.7125,2,80,0.0003,20.821596975,-0.5943156,0,,
,,,,,1969,,,,3.070417750527005,20.3,0,0,2,-3.280473661541378,3.280473661541378,5,344,23.44047619047619,2,84,0.0003,20.33910080952381,-0.476652,0,,
,,,,,2041,,,,4.94924174903576,20.0,0,0,2,-3.0939072007975383,3.10825278775097,5,341,23.193181818181817,2,88,0.0003,19.97649628409091,-0.43772653,0,,
,,,,,2133,,,,5.683649048396763,19.9,0,0,2,-6.846323239227546,6.846323239227546,6,339,23.184782608695652,2,92,0.0003,19.946879880434782,-0.4649643,0,,
,,,,,2208,,,,2.875476547542143,19.8,0,0,2,-2.2836938327027423,2.2836938327027423,6,330,23.0,2,96,0.0003,19.772317375,-0.44305322,0,,
,,,,,2311,,,,6.635498264675404,19.9,0,0,2,-8.756652850941581,8.756652850941581,7,322,23.11,2,100,0.0003,19.87839059,-0.53576624,0,,
,,,,,2422,,,,1.5142000817809593,20.3,0,0,3,-2.647361088845989,2.647361088845989,7,317,23.36,2,104,0.0003,20.258063210000003,-0.55372584,0,,
,,,,,2544,,,,4.848450163290754,20.3,0,0,3,-7.670284422730244,7.670284422730244,8,311,23.48,2,108,0.0003,20.301309489999998,-0.69139624,0,,
,,,,,2599,,,,3.835905303073926,20.1,0,0,3,-3.4197907042317826,3.4197907042317826,8,315,23.29,3,112,0.0003,20.0873326,-0.51458067,0,,
,,,,,2669,,,,5.013184317531319,19.9,0,0,3,-4.532443488814178,4.532443488814178,8,313,22.99,3,116,0.0003,19.88730137,-0.52696675,0,,
,,,,,2783,,,,30.558141031320375,20.8,0,0,3,-35.852004930811106,35.852004930811106,8,313,23.31,3,120,0.0003,20.81037425,-0.5649625,0,,
,,,,,2894,,,,12.426963801534356,20.9,0,0,4,-15.875313839220995,15.875313839220995,9,314,23.38,3,124,0.0003,20.88864512,-0.5896188,0,,
,,,,,2985,,,,6.134618373181697,20.2,0,0,4,-7.197279146158044,7.197279146158044,9,313,23.0,3,128,0.0003,20.23470607,-0.5712161,0,,
,,,,,3053,,,,7.366951243872973,19.7,0,0,4,-7.027740518712633,7.027740518712633,9,310,22.59,3,132,0.0003,19.655694630000003,-0.6965506,0,,
,,,,,3180,,,,4.600839807181429,20.2,0,0,4,-5.023643092416498,5.023643092416498,10,311,23.05,3,136,0.0003,20.16583392,-0.45247683,0,,
,,,,,3277,,,,5.681329759417504,20.3,0,0,5,-3.979518466244328,4.008367986340155,10,309,22.99,3,140,0.0003,20.34000844,-0.4934649,0,,
,,,,,3349,,,,6.9096112981910585,20.4,0,0,5,-5.261085112525312,5.261085112525312,10,306,22.79,3,144,0.0003,20.443465160000002,-0.46974322,0,,
,,,,,3404,,,,6.252306032003429,20.3,0,0,5,-4.89248187365006,4.89248187365006,11,302,22.6,3,148,0.0003,20.262542460000006,-0.59022063,0,,
,,,,,3485,,,,8.029493614507725,20.3,0,0,5,-9.645883812885572,9.645883812885572,11,306,22.57,3,152,0.0003,20.284793360000002,-0.82501954,0,,
,,,,,3674,,,,3.585425588035343,22.2,0,0,6,-8.06564457232071,8.06564457232071,12,300,23.46,3,156,0.0003,22.1934812,-0.5803461,0,,
,,,,,3754,,,,4.8682653909296185,22.3,0,0,6,-5.295308745350492,5.295308745350492,12,293,23.59,4,160,0.0003,22.25075083,-0.6185706,0,,
,,,,,3834,,,,4.4233133276496055,22.0,0,0,7,-5.257335308961891,5.257335308961891,13,285,23.52,4,164,0.0003,22.04024797,-0.67330146,0,,
,,,,,3921,,,,16.105546431528197,21.4,0,0,7,-15.730210869427623,15.730210869427623,14,279,23.24,4,168,0.0003,21.44149498,-0.49154142,0,,
,,,,,3990,,,,11.641600883332998,21.7,0,0,7,-11.142642378845853,11.142642378845853,14,282,23.42,4,172,0.0003,21.69527708,-0.5897734,0,,
,,,,,4073,,,,7.193356858122161,20.3,0,0,7,-6.6123543945269825,6.6123543945269825,14,280,22.8,4,176,0.0003,20.341357100000003,-0.5139997,0,,
,,,,,4157,,,,12.309833151485046,20.2,0,0,8,-12.6359088137897,12.6359088137897,14,278,22.6,4,180,0.0003,20.22127635,-0.51677215,0,,
,,,,,4256,,,,9.757012626815,20.6,0,0,8,-12.547240326842331,12.547240326842331,15,276,22.87,4,184,0.0003,20.60660138,-0.58030874,0,,
,,,,,4340,,,,8.150800979237152,20.6,0,0,8,-6.14082977330313,6.14082977330313,15,274,22.99,4,188,0.0003,20.626600340000003,-0.41626477,0,,
,,,,,4433,,,,6.652563582056393,20.4,0,0,9,-3.1669187659979183,4.109539374668628,16,272,23.0,4,192,0.0003,20.356820340000002,-0.39908117,0,,
,,,,,4498,,,,5.052877762329465,20.2,0,0,9,-3.656746017529054,3.656746017529054,16,275,22.9,4,196,0.0003,20.20896322,-0.53758526,0,,
,,,,,4572,,,,3.2891552465922076,19.8,0,0,9,-0.3552461887791313,2.3346013622618815,16,272,22.61,4,200,0.0003,19.82408665,-0.4092502,0,,
,,,,,4687,,,,7.144440826421484,19.6,0,0,9,-6.737742261603019,6.737742261603019,17,270,22.65,4,204,0.0003,19.552211869999997,-0.5414571,0,,
,,,,,4761,,,,7.191360474425277,19.2,0,0,10,-5.385385286850007,5.385385286850007,17,267,22.17,5,208,0.0003,19.1689812,-0.59458977,0,,
,,,,,4833,,,,14.822379505649842,19.4,0,0,10,-13.846214970259014,13.846214970259014,18,261,22.34,5,212,0.0003,19.391958090000003,-0.5519203,0,,
,,,,,4933,,,,10.157661108375377,19.9,0,0,11,-12.659403401651447,12.659403401651447,19,256,22.64,5,216,0.0003,19.885763230000002,-0.47320023,0,,
,,,,,5104,,,,8.137293754898904,20.4,0,0,12,-15.234846594911886,15.234846594911886,20,250,23.21,5,220,0.0003,20.39047578,-0.5531991,0,,
,,,,,5169,,,,4.060158980227033,19.8,0,0,12,-3.9585804933827564,3.9585804933827564,20,252,22.75,5,224,0.0003,19.797216589999998,-0.47401568,0,,
,,,,,5248,,,,4.2933453262335535,19.7,0,0,12,-3.3348469939858654,3.3348469939858654,20,250,22.63,5,228,0.0003,19.71133112,-0.32703972,0,,
,,,,,5349,,,,5.219045477830117,19.9,0,0,13,-5.5922318878461725,5.5922318878461725,21,249,22.96,5,232,0.0003,19.90084431,-0.591548,0,,
,,,,,5504,,,,3.778935461938535,20.7,0,0,14,-8.07224381297709,8.07224381297709,22,244,23.24,5,236,0.0003,20.69816144,-0.5477273,0,,
,,,,,5573,,,,13.349154514472309,20.3,0,0,14,-10.460779967539251,10.460779967539251,22,246,22.96,5,240,0.0003,20.281763670000004,-0.55349934,0,,
,,,,,5652,,,,8.708198684183825,20.4,0,0,14,-9.890629299566678,9.890629299566678,23,244,23.03,5,244,0.0003,20.388653129999998,-0.6695048,0,,
,,,,,5756,,,,4.255838231587672,20.8,0,0,15,-2.2646948065287473,2.601845219115709,23,242,23.52,5,248,0.0003,20.773858379999997,-0.48444235,0,,
,,,,,5822,,,,9.95136375746653,20.6,0,0,15,-9.26983979073601,9.26983979073601,24,237,23.37,6,252,0.0003,20.60270223,-0.46339315,0,,
