#{"t_start": 1651858209.789739, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
63.910141,7,5.9984
35.720566,4,6.010002
63.843374,7,6.025982
73.31,8,6.050348
54.686154,6,6.059877
72.992048,8,6.080278
45.408801,5,6.103128
35.904926,4,6.116909
63.873968,7,6.134503
36.172883,4,6.148373
63.606937,7,6.16544
44.994557,5,6.183915
26.920419,3,6.1955
72.532314,8,6.217267
73.265773,8,6.238863
54.836202,6,6.260519
82.57083,9,6.636781
45.27746,5,6.651779
54.150786,6,6.669869
54.862298,6,6.682269
54.410361,6,6.696697
63.749556,7,6.715192
45.000548,5,6.727376
82.021723,9,6.745744
54.115773,6,6.76259
101.022024,11,6.791923
45.571812,5,6.812846
36.386191,4,6.824719
63.771152,7,6.843524
45.359723,5,6.859197
82.891692,9,6.884837
73.113521,8,6.987433
82.422895,9,7.002825
73.03705,8,7.021653
100.822416,11,7.051791
54.225201,6,7.069594
91.799811,10,7.090621
45.502678,5,7.101089
73.083261,8,7.120657
73.088049,8,7.14033
45.351593,5,7.154828
54.562731,6,7.173299
54.906449,6,7.187175
54.201157,6,7.198196
73.749855,8,7.33756
45.098735,5,7.352132
63.776765,7,7.365083
63.462265,7,7.38679
54.136846,6,7.40458
44.903166,5,7.423474
91.283434,10,7.446299
36.00098,4,7.46117
35.268536,4,7.474841
54.548962,6,7.490457
53.983981,6,7.50536
54.867535,6,7.522465
45.337317,5,7.531045
44.962819,5,7.547103
54.320104,6,7.564108
54.340798,6,7.577768
110.107735,12,7.768207
44.869119,5,7.788535
54.531309,6,7.80039
36.060357,4,7.814795
63.941987,7,7.834635
54.107236,6,7.848265
63.404176,7,7.865377
45.647972,5,7.883787
45.553529,5,7.899899
54.327063,6,7.915246
35.811643,4,7.93025
82.179439,9,7.952772
35.96651,4,7.967979
44.86778,5,7.981694
45.49816,5,7.999359
54.288745,6,8.01774
35.541377,4,8.02868
36.01164,4,8.043118
82.069274,9,8.28444
35.90027,4,8.302107
45.454893,5,8.32215
44.872923,5,8.336387
63.898828,7,8.358389
63.575469,7,8.383465
54.390988,6,8.403828
45.37838,5,8.424204
73.333658,8,8.448553
44.934535,5,8.466043
45.172564,5,8.479271
35.758554,4,8.494521
54.63579,6,8.512068
26.906214,3,8.524817
63.648742,7,8.548022
36.109032,4,8.563303
73.304772,8,8.5864
91.787302,10,8.873831
54.656211,6,8.897876
73.083818,8,8.922582
35.727479,4,8.938388
72.797134,8,8.959818
36.065832,4,8.978774
44.853272,5,8.993174
63.760691,7,9.011856
35.727174,4,9.023015
36.049227,4,9.038987
45.380857,5,9.054866
45.130887,5,9.070416
82.96062,9,9.096606
82.134528,9,9.125446
45.620104,5,9.146512
81.941649,9,9.165528
138.599809,15,9.511933
45.124421,5,9.538702
63.533378,7,9.562844
91.667762,10,9.592628
54.373675,6,9.615284
63.564832,7,9.635952
