eval_qs,eval mean 100 episode reward,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_time_elapsed,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eplenmean,act_time,env_time,ep_rewmean,current_lr,qs_mean,train_time,episodes,mean 100 episode reward,time_elapsed,discount_q,update_time,qs_difference,qs_abs_difference,n_updates,fps,q_grad_norm,qfs_loss
-1.9404699,8.6,8.594963272727272,1,31.636363636363637,0,-1.2633048674975214,8.90006472823898,3.328585,,,,,,,,,,,,,,,,,,
,,,3904,,,,,,21.81,0,3,17.83338101,0.0003,-0.56966287,0,176,17.8,12,3.8097885905362285,6,-3.6241721656265424,3.6241721656265424,0,309,,
,,,4004,,,,,,21.65,0,3,18.066020929999997,0.0003,-0.20193073,0,180,18.1,13,7.165226973060622,7,-7.393950850852917,7.393950850852917,0,307,,
,,,4092,,,,,,21.37,0,3,17.7730307,0.0003,-0.34233978,0,184,17.8,13,7.185304673479596,7,-5.751394523529945,5.751394523529945,0,312,,
,,,4218,,,,,,21.38,0,3,17.936028959999998,0.0003,-0.2548798,0,188,17.9,13,4.597881007834788,7,-6.465971377159584,6.465971377159584,0,304,,
,,,4278,,,,,,20.91,0,3,17.52487431,0.0003,-0.2586159,0,192,17.5,13,11.642542794056883,7,-9.918094733491493,9.918094733491493,0,307,,
,,,4407,,,,,,20.86,0,4,16.62125639,0.0003,-0.27682266,0,196,16.6,14,5.596557098145402,8,-9.327352672871225,9.327352672871225,0,299,,
,,,4483,,,,,,20.82,0,4,16.54511355,0.0003,-0.4868914,0,200,16.5,14,6.275699062256996,8,-4.4252882768636885,4.4252882768636885,0,302,,
,,,4586,,,,,,21.02,0,4,16.84538363,0.0003,-0.6310102,0,204,16.8,15,20.759785362531527,8,-26.98372368917662,26.98372368917662,0,300,,
,,,4692,,,,,,21.19,0,4,16.910292449999996,0.0003,-0.31058747,0,208,16.9,15,10.023369366456343,9,-8.682526990560126,8.682526990560126,0,298,,
,,,4747,,,,,,21.12,0,4,16.90306309,0.0003,-0.48662135,0,212,16.9,16,5.979403979895832,9,-4.48741602488986,4.48741602488986,0,293,,
,,,4809,,,,,,20.84,0,4,16.74551165,0.0003,-0.32496482,0,216,16.7,16,5.029011600257329,9,-4.887101644953501,4.887101644953501,0,287,,
,,,4909,,,,,,21.03,0,4,17.22894497,0.0003,-0.2920108,0,220,17.2,17,5.434136221325831,10,-7.685164412061937,7.685164412061937,0,282,,
,,,4996,,,,,,21.04,0,4,17.04511507,0.0003,-0.44104424,0,224,17.0,17,4.355803427191366,10,-3.3875364210174452,3.3875364210174452,0,284,,
,,,5060,,,,,,20.64,0,4,16.712021670000002,0.0003,-0.20220903,0,228,16.7,18,4.444605045014671,11,-4.163303120758193,4.163303120758193,0,278,,
,,,5117,,,,,,20.59,0,4,16.582851209999998,0.0003,-0.1709847,0,232,16.6,18,5.705893196946852,11,-5.1335640666124025,5.1335640666124025,0,275,,
,,,5201,,,,,,20.65,0,4,16.487602400000004,0.0003,-0.25822592,0,236,16.5,19,7.3120350370143985,11,-8.701253885818918,8.701253885818918,0,272,,
,,,5270,,,,,,20.65,0,4,16.56284824,0.0003,-0.3614196,0,240,16.6,19,10.760692011757007,11,-9.989340875141606,9.989340875141606,0,275,,
,,,5363,,,,,,20.82,0,4,16.43668027,0.0003,-0.55964315,0,244,16.4,19,5.910464678326746,12,-7.475296910217579,7.475296910217579,0,273,,
,,,5435,,,,,,20.96,0,4,16.582290899999997,0.0003,-0.5449112,0,248,16.6,20,10.872211572477205,12,-10.62208501844386,10.62208501844386,0,270,,
,,,5500,,,,,,20.62,0,5,16.33458697,0.0003,-0.23020658,0,252,16.3,20,3.0350047100515853,13,-2.985805199267756,2.985805199267756,0,266,,
,,,5576,,,,,,20.55,0,5,16.34177727,0.0003,-0.3665873,0,256,16.3,20,4.804924836313917,13,-3.997136936921501,3.997136936921501,0,269,,
,,,5663,,,,,,20.66,0,5,16.483340339999998,0.0003,-0.5616154,0,260,16.5,21,3.966992170484498,13,-4.196062276225678,4.196062276225678,0,266,,
,,,5748,,,,,,20.82,0,5,16.59552992,0.0003,-0.24945341,0,264,16.6,21,12.583760703857498,13,-10.788603415090478,10.788603415090478,0,263,,
,,,5908,,,,,,21.58,0,5,17.41893409,0.0003,-0.4265632,0,268,17.4,23,13.273958625069914,15,-26.963966240141804,26.963966240141804,0,255,,
,,,5983,,,,,,21.56,0,5,17.300917319999996,0.0003,-0.23397982,0,272,17.3,23,6.960938892463154,15,-6.233392148853368,6.233392148853368,0,257,,
,,,6074,,,,,,21.7,0,5,17.47401576,0.0003,-0.6693176,0,276,17.5,23,4.3073794120642095,15,-5.3094048576348545,5.3094048576348545,0,253,,
,,,6191,,,,,,21.87,0,5,17.983633920000003,0.0003,-0.26682144,0,280,18.0,24,5.6147674434374215,16,-8.929342532646354,8.929342532646354,0,252,,
,,,6296,,,,,,22.04,0,5,18.370429480000002,0.0003,-0.48861533,0,284,18.4,25,3.9682888191709784,16,-3.7466040447821127,3.7466040447821127,0,250,,
,,,6352,,,,,,21.34,0,5,17.6486529,0.0003,-0.0911061,0,288,17.6,25,4.604882223312023,17,-3.5731812015828694,3.5731812015828694,0,247,,
,,,6420,,,,,,21.42,0,5,17.63273904,0.0003,-0.46676937,0,292,17.6,26,5.055304681018809,17,-3.5344186213320956,3.5344186213320956,0,244,,
,,,6497,,,,,,20.9,0,5,17.40564386,0.0003,-0.3771021,0,296,17.4,26,7.202193490055599,17,-6.3732426165836875,6.3732426165836875,0,246,,
,,,6615,,,,,,21.32,0,5,18.299724509999997,0.0003,-0.14287798,0,300,18.3,27,3.696602278705306,18,-4.141814774133825,4.141814774133825,0,240,,
,,,6677,,,,,,20.91,0,6,17.839654340000003,0.0003,-0.4881487,0,304,17.8,27,8.218786311839963,18,-7.153262694651621,7.153262694651621,0,242,,
,,,6755,,,,,,20.63,0,6,17.69377305,0.0003,-0.37637648,0,308,17.7,28,13.08038792488075,19,-10.36129445886687,10.36129445886687,0,238,,
,,,6840,,,,,,20.93,0,6,17.899505000000005,0.0003,-0.42874372,0,312,17.9,29,5.998730177035099,19,-6.582212507973389,6.582212507973389,0,234,,
,,,6938,,,,,,21.29,0,6,17.95175396,0.0003,-0.29966474,0,316,18.0,29,4.890365293985938,20,-3.781541429389388,3.877191012727798,0,231,,
,,,7059,,,,,,21.5,0,6,17.95918815,0.0003,-0.20445736,0,320,18.0,30,4.259297302631862,21,-5.429110197463676,5.429110197463676,0,230,,
,,,7120,,,,,,21.24,0,6,17.91176455,0.0003,-0.16239202,0,324,17.9,31,7.362919820893241,21,-5.231887349005001,5.231887349005001,0,228,,
,,,7209,,,,,,21.49,0,6,18.36205443,0.0003,-0.41409522,0,328,18.4,31,14.585213259074543,22,-15.132979148021423,15.132979148021423,0,226,,
,,,7294,,,,,,21.77,0,6,18.724759239999997,0.0003,-0.24254304,0,332,18.7,31,6.673523398412502,22,-6.985918213451166,6.985918213451166,0,228,,
,,,7375,,,,,,21.74,0,6,18.40436301,0.0003,-0.4127031,0,336,18.4,32,6.025892964360364,22,-5.070626050839483,5.070626050839483,0,226,,
,,,7433,,,,,,21.63,0,6,18.26343071,0.0003,-0.5520216,0,340,18.3,33,10.68610064817975,23,-9.83117092532407,9.83117092532407,0,224,,
,,,7541,,,,,,21.78,0,6,18.46088517,0.0003,-0.18098497,0,344,18.5,33,2.2825718460395783,23,-3.3503104769773002,3.3503104769773002,0,221,,
,,,7594,,,,,,21.59,0,6,18.263773190000002,0.0003,-0.28401133,0,348,18.3,34,3.563807059665548,23,-2.6946640540761386,2.6946640540761386,0,222,,
,,,7744,,,,,,22.44,0,7,19.6482083,0.0003,-0.55633193,0,352,19.6,35,19.758367198525267,25,-32.327752784571146,32.327752784571146,0,216,,
,,,7847,,,,,,22.71,0,7,19.92345946,0.0003,-0.27640462,0,356,19.9,36,3.9972271150162,26,-2.6858932123991694,2.687298953588849,0,214,,
,,,7938,,,,,,22.75,0,7,20.10654853,0.0003,-0.17797327,0,360,20.1,37,4.533644709523996,26,-5.6140292442318085,5.6140292442318085,0,213,,
,,,8007,,,,,,22.59,0,7,19.97305156,0.0003,-0.46168327,0,364,20.0,37,6.4738043076395195,27,-6.3994234723633525,6.3994234723633525,0,210,,
,,,8120,,,,,,22.12,0,7,19.37587429,0.0003,-0.3186673,0,368,19.4,38,5.26714233502778,27,-5.99778227960515,5.99778227960515,0,209,,
,,,8206,,,,,,22.23,0,7,19.384577099999998,0.0003,-0.34932506,0,372,19.4,39,9.645727093304256,28,-6.900875485888493,6.900875485888493,0,208,,
,,,8311,,,,,,22.37,0,7,19.55739777,0.0003,-0.3155446,0,376,19.6,40,4.179909460863454,29,-5.548211967345222,5.548211967345222,0,204,,
,,,8423,,,,,,22.32,0,7,19.51396359,0.0003,-0.59108967,0,380,19.5,41,8.620221626948693,30,-13.257311463380596,13.257311463380596,0,202,,
,,,8555,,,,,,22.59,0,7,20.29894771,0.0003,-0.19465089,0,384,20.3,42,3.8934784898801578,31,-5.736280126413264,5.736280126413264,0,201,,
,,,8644,,,,,,22.92,0,7,20.691214880000004,0.0003,-0.46099287,0,388,20.7,43,20.227330652717498,31,-22.708705902008646,22.708705902008646,0,200,,
,,,8745,,,,,,23.25,0,7,20.936920350000005,0.0003,-0.2987883,0,392,20.9,43,7.904385545891065,32,-8.851064027820177,8.851064027820177,0,199,,
,,,8853,,,,,,23.56,0,7,21.296973639999997,0.0003,-0.5942052,0,396,21.3,44,9.992634998220915,33,-13.942755612196583,13.942755612196583,0,197,,
,,,8916,,,,,,23.01,0,8,20.4113488,0.0003,-0.58345234,0,400,20.4,45,10.304405576432817,33,-8.254094068217668,8.254094068217668,0,195,,
,,,9026,,,,,,23.49,0,8,21.05033918,0.0003,-0.39536935,0,404,21.1,46,2.753723027503439,34,-4.1609971062888835,4.1609971062888835,0,193,,
,,,9140,,,,,,23.85,0,8,21.37832452,0.0003,-0.25318184,0,408,21.4,47,9.008985567318907,35,-5.573655844939999,6.489873556656538,0,191,,
,,,9215,,,,,,23.75,0,8,21.35202536,0.0003,-0.27057365,0,412,21.4,48,15.660135298247353,36,-12.190665797739852,12.190665797739852,0,189,,
,,,9279,,,,,,23.41,0,8,21.30133932,0.0003,-0.50582194,0,416,21.3,48,4.401099610878603,36,-2.692364651019521,2.692364651019521,0,190,,
,,,9374,,,,,,23.15,0,8,21.308607659999996,0.0003,-0.19203207,0,420,21.3,49,5.847428812766587,37,-7.39638742393275,7.39638742393275,0,189,,
,,,9444,,,,,,23.24,0,8,21.300698239999996,0.0003,-0.24059989,0,424,21.3,50,14.859817925753498,37,-13.069692820681407,13.069692820681407,0,188,,
,,,9523,,,,,,23.14,0,8,21.051880719999996,0.0003,-0.29855034,0,428,21.1,51,15.308811613650066,38,-14.9720643923459,14.9720643923459,0,186,,
,,,9679,,,,,,23.85,0,8,22.21924837,0.0003,-0.18063411,0,432,22.2,52,1.760083267970354,39,-4.170723621297891,4.170723621297891,0,185,,
,,,9761,,,,,,23.86,0,8,22.374737520000004,0.0003,-0.23612517,0,436,22.4,53,6.122142541097096,40,-4.159846599306227,4.159846599306227,0,183,,
,,,9834,,,,,,24.01,0,8,22.447934640000003,0.0003,-0.26185971,0,440,22.4,54,8.901681444080042,41,-7.69930962599396,7.69930962599396,0,181,,
,,,9917,,,,,,23.76,0,8,22.224086099999994,0.0003,-0.3717429,0,444,22.2,54,15.286081007020966,41,-14.072818761378777,14.072818761378777,0,180,,
-1.935777,8.7,8.828657,10001,31.181818181818183,0,-1.5092700393419727,9.06016853300989,3.3302386,,,,,,,,,,,,,,,,,,
,,,10011,,,,,,24.17,0,9,22.3096823,0.0003,-0.10899999,0,448,22.3,56,4.658390293298546,42,-4.118710866683836,4.118710866683836,0,178,,
,,,10111,,,,,,23.67,0,9,21.31755355,0.0003,-0.25546545,0,452,21.3,57,3.7800721034478184,43,-1.157506432060158,2.7835286584782177,0,177,,
,,,10273,,,,,,24.26,0,9,22.38306995,0.0003,-0.30527017,0,456,22.4,58,7.521574031646035,44,-14.407390647232432,14.407390647232432,0,175,,
,,,10419,,,,,,24.81,0,9,22.732405599999993,0.0003,-0.24002887,0,460,22.7,60,4.581601900167417,46,-6.66181221454778,6.66181221454778,0,172,,
,,,10501,,,,,,24.94,0,9,22.81946982,0.0003,-0.17905638,0,464,22.8,61,6.169370121849727,47,-4.101442274165463,4.101442274165463,0,171,,
,,,10640,,,,,,25.2,0,9,23.345690120000004,0.0003,-0.47785035,0,468,23.3,62,12.265188866318816,48,-22.310068680362686,22.310068680362686,0,170,,
,,,10731,,,,,,25.25,0,9,23.527214490000002,0.0003,-0.46024555,0,472,23.5,63,4.306296818182429,48,-3.6254986667913056,3.6254986667913056,0,169,,
,,,10803,,,,,,24.92,0,9,23.215231490000004,0.0003,-0.45610145,0,476,23.2,64,18.578663375863403,50,-16.739055554723826,16.739055554723826,0,167,,
,,,10889,,,,,,24.66,0,9,22.391495150000004,0.0003,-0.33191064,0,480,22.4,64,7.735510211225079,50,-5.504065755812506,5.504065755812506,0,168,,
,,,10993,,,,,,24.38,0,9,21.242908180000004,0.0003,-0.4133889,0,484,21.2,65,4.4956209509981235,51,-4.665838466114246,4.665838466114246,0,167,,
,,,11074,,,,,,24.3,0,10,21.112014990000002,0.0003,-0.24734813,0,488,21.1,66,5.30140977902209,51,-5.637762636940947,5.637762636940947,0,166,,
,,,11189,,,,,,24.44,0,10,21.50932771,0.0003,-0.27356455,0,492,21.5,67,4.64113534328842,52,-2.62145307553663,2.7530394704570997,0,165,,
,,,11242,,,,,,23.89,0,10,20.947484030000005,0.0003,-0.1136972,0,496,20.9,68,6.385596269345741,53,-4.947262692122978,4.947262692122978,0,164,,
,,,11356,,,,,,24.4,0,10,21.162245279999997,0.0003,-0.2349506,0,500,21.2,69,19.64386361913068,54,-17.06986552766592,17.06986552766592,0,163,,
,,,11421,,,,,,23.95,0,10,20.38735055,0.0003,-0.46891314,0,504,20.4,70,5.70974409255911,55,-5.289603773974272,5.289603773974272,0,160,,
,,,11493,,,,,,23.53,0,10,20.13059933,0.0003,-0.26634964,0,508,20.1,71,3.5584972500271856,55,-3.1578302787343273,3.1578302787343273,0,161,,
,,,11591,,,,,,23.76,0,10,20.194954069999998,0.0003,-0.25715074,0,512,20.2,72,4.346993283161632,56,-6.113818753003286,6.113818753003286,0,160,,
,,,11712,,,,,,24.33,0,10,21.06676918,0.0003,-0.31376883,0,516,21.1,73,4.711213588191913,58,-7.304611108939962,7.304611108939962,0,158,,
,,,11836,,,,,,24.62,0,10,21.370453480000002,0.0003,-0.25046006,0,520,21.4,74,2.5371260553280677,59,-3.936097135021481,3.936097135021481,0,157,,
,,,11905,,,,,,24.61,0,10,21.318904940000003,0.0003,-0.35012764,0,524,21.3,76,5.555831972932637,60,-4.580120580997399,4.580120580997399,0,156,,
,,,11995,,,,,,24.72,0,10,21.28467435,0.0003,-0.26757598,0,528,21.3,76,5.539951879047109,60,-3.7085947771358327,3.9820119143576993,0,156,,
,,,12086,,,,,,24.07,0,10,20.14232629,0.0003,-0.36666787,0,532,20.1,77,23.674466521620758,61,-23.991591052006186,23.991591052006186,0,155,,
,,,12183,,,,,,24.22,0,11,20.601449499999998,0.0003,-0.2515581,0,536,20.6,78,4.6508223587142,62,-5.944345730346855,5.944345730346855,0,155,,
,,,12301,,,,,,24.67,0,11,21.294318370000006,0.0003,-0.25343946,0,540,21.3,80,13.712220801338807,64,-16.9941408386096,16.9941408386096,0,152,,
,,,12396,,,,,,24.79,0,11,21.656950409999993,0.0003,-0.25059253,0,544,21.7,80,13.460511423520913,64,-15.45158225457272,15.45158225457272,0,153,,
,,,12485,,,,,,24.74,0,11,22.029735220000003,0.0003,-0.18973933,0,548,22.0,82,4.0121247692052275,65,-3.6980591174109008,3.6980591174109008,0,151,,
,,,12600,,,,,,24.89,0,11,22.181607620000005,0.0003,-0.23310082,0,552,22.2,84,13.820070329441826,67,-11.36686498947811,11.43073293804875,0,149,,
,,,12690,,,,,,24.17,0,11,21.040644750000002,0.0003,-0.5002687,0,556,21.0,84,7.828196055290303,67,-8.24840306489996,8.24840306489996,0,149,,
,,,12800,,,,,,23.81,0,11,20.698099270000004,0.0003,-0.19433954,0,560,20.7,86,5.86672211807136,69,-6.586025432354982,6.586025432354982,0,147,,
,,,12898,,,,,,23.97,0,11,20.825854809999996,0.0003,-0.3956662,0,564,20.8,86,15.1494092505581,69,-16.741050674385857,16.741050674385857,0,148,,
,,,12955,,,,,,23.15,0,11,19.617375740000004,0.0003,-0.2221699,0,568,19.6,88,5.970304399789294,71,-4.298721123647249,4.298721123647249,0,146,,
,,,13043,,,,,,23.12,0,11,19.37807929,0.0003,-0.10985041,0,572,19.4,89,5.202458044101267,72,-4.109372124506211,4.123067268092967,0,145,,
,,,13124,,,,,,23.21,0,11,19.30780135,0.0003,-0.269241,0,576,19.3,90,6.7593161617600925,73,-7.027954119483676,7.027954119483676,0,145,,
,,,13182,,,,,,22.93,0,11,19.083815050000002,0.0003,-0.15162003,0,580,19.1,90,6.529673676936564,73,-5.019388522371298,5.019388522371298,0,145,,
,,,13335,,,,,,23.42,0,12,20.238309270000002,0.0003,-0.5008288,0,584,20.2,92,37.47702580145146,75,-49.63301748686646,49.63301748686646,0,143,,
,,,13421,,,,,,23.47,0,12,19.99743255,0.0003,-0.17189911,0,588,20.0,94,3.5924028849047644,76,-1.7613959012716265,2.200056223081752,0,142,,
,,,13524,,,,,,23.35,0,12,19.965388949999998,0.0003,-0.4026851,0,592,20.0,95,3.938491107552751,77,-2.3710535987277295,2.7831396210831607,0,141,,
,,,13612,,,,,,23.7,1,12,20.26514011,0.0003,-0.25671542,0,596,20.3,96,15.255310783169863,78,-13.41103957559338,13.41103957559338,0,140,,
,,,13686,,,,,,23.3,1,12,20.07355354,0.0003,-0.23798847,0,600,20.1,96,16.977351192026006,78,-12.491580296053117,12.491580296053117,0,141,,
,,,13788,,,,,,23.67,1,12,20.26949751,0.0003,-0.19520108,0,604,20.3,97,7.329538229935582,79,-6.646389783437228,6.646389783437228,0,140,,
,,,13899,,,,,,24.06,1,12,20.522964579999996,0.0003,-0.37296087,0,608,20.5,99,22.864930898887373,80,-27.747616240618434,27.747616240618434,0,140,,
,,,13983,,,,,,23.92,1,12,20.416918499999998,0.0003,-0.5342089,0,612,20.4,100,6.382253340079546,82,-6.972746620163546,6.972746620163546,0,138,,
,,,14127,,,,,,24.15,1,12,21.49601835,0.0003,-0.09042573,0,616,21.5,102,2.9645505641800627,84,-5.301193781260439,5.301193781260439,0,137,,
,,,14213,,,,,,23.77,1,12,20.740793009999997,0.0003,-0.13553253,0,620,20.7,104,4.210543495737868,85,-1.5910478552686194,2.385392712221843,0,136,,
,,,14353,,,,,,24.48,1,12,22.04791641,0.0003,-0.5530392,0,624,22.0,105,39.09425466297182,86,-54.53572351910571,54.53572351910571,0,135,,
,,,14460,,,,,,24.65,1,13,22.707024960000002,0.0003,-0.2716881,0,628,22.7,106,5.825683786867333,87,-7.65270072814749,7.65270072814749,0,135,,
,,,14522,,,,,,24.36,1,13,22.25632547,0.0003,-0.25777844,0,632,22.3,108,5.271031397764872,89,-4.542623082068862,4.542623082068862,0,134,,
,,,14630,,,,,,24.47,1,13,22.04735323,0.0003,-0.23976313,0,636,22.0,109,5.048883463226333,90,-6.154388537534035,6.154388537534035,0,133,,
,,,14703,,,,,,24.02,1,13,21.472609169999995,0.0003,-0.3184364,0,640,21.5,110,5.222835895400871,91,-5.593289086885341,5.593289086885341,0,133,,
,,,14775,,,,,,23.79,1,13,21.01009505,0.0003,-0.22195375,0,644,21.0,110,3.7866646216850715,91,-3.599743521622024,3.599743521622024,0,133,,
,,,14877,,,,,,23.92,1,13,21.181532359999995,0.0003,-0.46908396,0,648,21.2,112,5.100312375579527,92,-6.9937474591924405,6.9937474591924405,0,132,,
,,,14960,,,,,,23.6,1,13,20.896754050000006,0.0003,-0.30090952,0,652,20.9,113,5.384313303978589,94,-5.850406536500797,5.850406536500797,0,131,,
