eval_eplenmean,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_qs_difference,current_lr,act_time,time_elapsed,qs_difference,qs_abs_difference,eplenmean,mean 100 episode reward,qs_mean,fps,episodes,discount_q,train_time,ep_rewmean,n_updates,env_time,update_time,q_grad_norm,qfs_loss
,,,,100000,,,,,0.0003,68,4291,0.3292547834646513,0.7865425247341327,1000.0,29.9,4.2283373,23,100,2.3407722041330346e-12,1966,29.917687620000006,150200,145,1853,1.3154745,0.014702985
1000.0,63.34434536363636,30.190343492838938,0.6331613,100001,22,3.4013414,34.7,0.05575090218624812,,,,,,,,,,,,,,,,,,
,,,,104000,,,,,0.0003,71,4576,0.9605812553704898,0.9791471707168237,1000.0,32.4,5.70322,22,104,2.2742267923331536e-12,2071,32.37794721,158200,151,2000,1.2267401,0.011475181
,,,,108000,,,,,0.0003,75,4838,0.41649472494357487,0.8372500987397823,1000.0,35.3,4.968519,22,108,2.2655778556140596e-12,2175,35.29393742,166200,157,2147,1.3163317,0.013262939
1000.0,73.03008018181816,30.788251129863042,0.6273018,110001,22,4.23929,44.3,-0.015680703891958313,,,,,,,,,,,,,,,,,,
,,,,112000,,,,,0.0003,78,5123,1.6983980109270138,1.6983980109270138,1000.0,38.1,6.2605076,21,112,2.26373064062105e-12,2280,38.11725205,174200,163,2294,1.2850467,0.012901736
,,,,116000,,,,,0.0003,82,5386,0.40948847977753267,1.5980247749233254,1000.0,41.0,6.710292,21,116,2.4447458955511497e-12,2385,40.97297178000001,182200,169,2442,1.6680139,0.016147166
,,,,120000,,,,,0.0003,85,5649,0.1413541295340959,0.8969762040509625,1000.0,43.9,6.950159,21,120,2.4339242942715382e-12,2489,43.863796889999996,190200,175,2590,1.4954432,0.013732468
1000.0,62.06698254545454,31.09706105615837,1.5269127,120001,22,4.3806424,49.4,1.2525533748694393,,,,,,,,,,,,,,,,,,
,,,,124000,,,,,0.0003,89,5936,0.09502190347932207,0.28778282176869,1000.0,47.0,2.4673307,20,124,2.5569322835077794e-12,2594,46.95504571000001,198200,181,2738,1.4720826,0.011141521
,,,,128000,,,,,0.0003,92,6199,0.972512986237589,1.1368774465767657,1000.0,50.7,9.840251,20,128,2.4916557451282494e-12,2698,50.70219191,206200,187,2886,1.5492381,0.011422192
1000.0,83.90926072727272,30.663736486529555,0.9457198,130001,22,5.984393,55.5,0.6291765384228242,,,,,,,,,,,,,,,,,,
,,,,132000,,,,,0.0003,96,6485,0.5233718930292287,0.7995872596194282,1000.0,53.6,9.721682,20,132,2.6223508457619524e-12,2803,53.60020077000001,214200,192,3035,1.3089732,0.009888171
,,,,136000,,,,,0.0003,99,6748,0.5048943285799661,0.5212361151145761,1000.0,55.6,3.005074,20,136,2.4795515416514187e-12,2908,55.58521285,222200,198,3182,1.1532999,0.008852484
