#{"t_start": 1651845565.4665165, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
45.002378,5,6.214343
72.959494,8,6.225338
35.98504,4,6.233026
64.163504,7,6.25178
63.869649,7,6.271774
45.299451,5,6.289918
54.883925,6,6.303475
45.052844,5,6.319942
54.709833,6,6.33741
64.142269,7,6.359543
64.326897,7,6.376619
45.489095,5,6.389895
64.121866,7,6.407368
82.361469,9,6.430131
110.345148,12,6.450673
44.910882,5,6.791343
54.684081,6,6.806234
54.423533,6,6.818761
63.585365,7,6.831341
138.111209,15,6.85298
44.863836,5,6.861982
73.303947,8,6.87153
54.298516,6,6.883835
45.416632,5,6.900692
54.31139,6,6.914868
36.331659,4,6.923997
35.8151,4,6.935538
54.571896,6,6.953506
73.407775,8,6.966284
54.779432,6,6.98608
45.210692,5,7.081799
45.226639,5,7.095337
45.43432,5,7.111231
35.592918,4,7.123994
64.090711,7,7.141428
73.548306,8,7.163152
54.791255,6,7.181059
44.87305,5,7.197331
35.903032,4,7.210324
45.336459,5,7.225754
73.337646,8,7.246577
63.306695,7,7.270347
45.161555,5,7.284555
36.083126,4,7.294673
54.177681,6,7.310539
35.95343,4,7.323058
45.305655,5,7.335855
44.973518,5,7.354037
35.904198,4,7.368007
73.286338,8,7.51857
63.79713,7,7.534519
63.596618,7,7.553549
54.310722,6,7.573575
45.611912,5,7.584835
54.263188,6,7.602436
54.237011,6,7.620782
44.901276,5,7.639335
36.160693,4,7.652557
72.6728,8,7.672009
72.835757,8,7.696924
45.37886,5,7.710165
54.593468,6,7.727867
54.028236,6,7.744267
54.686879,6,7.76176
45.4406,5,7.776309
73.317627,8,7.962847
35.712354,4,7.979635
45.057232,5,7.993797
35.997649,4,8.009772
63.797967,7,8.027919
45.165777,5,8.043361
35.957294,4,8.057901
92.018617,10,8.082349
82.09154,9,8.105948
54.387843,6,8.124509
36.174881,4,8.13384
36.200902,4,8.142395
110.488664,12,8.164576
72.951909,8,8.180848
45.595603,5,8.191957
35.878014,4,8.204824
91.691917,10,8.413958
63.528118,7,8.435359
54.393403,6,8.451938
54.408488,6,8.469277
35.776923,4,8.485283
82.719284,9,8.509048
63.710963,7,8.52516
54.369091,6,8.54616
45.243795,5,8.562047
73.223309,8,8.585655
91.88985,10,8.610694
54.494711,6,8.632346
101.122589,11,8.659758
36.007066,4,8.67414
72.246657,8,8.959636
35.980845,4,8.977457
45.603968,5,8.993894
45.229113,5,9.011601
35.927112,4,9.026214
63.694908,7,9.049446
54.42881,6,9.068583
26.958099,3,9.07904
45.24079,5,9.092659
63.323155,7,9.118567
35.921073,4,9.133631
63.608557,7,9.154191
45.115925,5,9.168295
45.093062,5,9.184893
54.755453,6,9.205429
82.467115,9,9.232606
72.613537,8,9.255019
44.908788,5,9.275892
63.927269,7,9.585816
35.822782,4,9.599973
36.009352,4,9.614162
45.201706,5,9.628023
45.082152,5,9.64112
45.017604,5,9.653805
35.934597,4,9.667957
45.050878,5,9.686735
54.232526,6,9.702661
35.976897,4,9.709771
72.94794,8,9.730181
35.460283,4,9.74817
45.479237,5,9.760752
35.683817,4,9.772068
45.394405,5,9.789472
54.878237,6,9.808394
45.078203,5,9.823961
45.538047,5,9.840207
54.179186,6,9.855148
54.751296,6,10.232213
54.431104,6,10.249684
44.644885,5,10.270509
72.846489,8,10.294004
35.853765,4,10.312252
36.077256,4,10.322908
54.807592,6,10.337594
54.093012,6,10.35612
26.858241,3,10.37064
82.254627,9,10.393903
82.619625,9,10.417014
44.918109,5,10.438764
54.732032,6,10.459316
45.426559,5,10.476596
45.186107,5,10.489559
101.104817,11,10.514922
63.70556,7,10.541803
36.081075,4,10.964312
54.249635,6,10.979797
35.737048,4,10.992993
35.998672,4,11.004524
36.064969,4,11.016078
45.605387,5,11.0349
44.895678,5,11.049112
64.028003,7,11.072791
54.212736,6,11.092896
35.825724,4,11.104695
64.019765,7,11.125282
82.626893,9,11.147602
45.129977,5,11.164854
54.667658,6,11.179249
45.000458,5,11.19453
91.593133,10,11.219632
82.042934,9,11.243721
63.740017,7,11.671739
54.803899,6,11.691568
44.725104,5,11.708933
45.324417,5,11.725383
91.364631,10,11.74917
45.410751,5,11.768881
26.916648,3,11.779155
73.2735,8,11.798342
35.877148,4,11.812304
54.301446,6,11.825725
54.362792,6,11.839164
63.981855,7,11.851159
44.971224,5,11.861509
36.14868,4,11.875911
63.582436,7,11.89335
35.899303,4,11.907563
45.020954,5,11.923396
54.754066,6,12.369133
35.975383,4,12.377721
73.485179,8,12.397767
45.571167,5,12.41317
45.413715,5,12.4277
73.049139,8,12.449653
45.257732,5,12.466268
35.818723,4,12.480007
45.201506,5,12.492994
44.927381,5,12.508234
54.469687,6,12.520564
63.316844,7,12.540298
54.61275,6,12.558275
45.398938,5,12.573784
45.026134,5,12.590016
35.522126,4,12.602304
64.199301,7,12.618245
63.682732,7,12.635777
36.04328,4,13.129063
45.162547,5,13.143474
63.848378,7,13.164555
45.378266,5,13.177988
45.388537,5,13.189436
72.647481,8,13.206245
64.073786,7,13.228923
63.485327,7,13.24494
82.313972,9,13.270589
45.185796,5,13.2913
72.92745,8,13.31562
36.120713,4,13.331145
54.306217,6,13.348278
63.498007,7,13.365851
64.329011,7,13.38523
45.242773,5,13.394696
63.611648,7,13.918999
45.434955,5,13.935123
63.428044,7,13.956557
81.943566,9,13.980273
54.138023,6,13.994129
45.460378,5,14.008899
63.566722,7,14.029637
63.498452,7,14.046607
63.965971,7,14.066807
35.652499,4,14.080415
35.594046,4,14.090194
54.548095,6,14.105363
73.0954,8,14.118711
45.163925,5,14.126991
44.980007,5,14.13477
35.609073,4,14.14881
54.41318,6,14.164635
44.893446,5,14.760569
63.941445,7,14.780788
45.246047,5,14.796363
63.371659,7,14.814348
44.883345,5,14.833508
64.245895,7,14.853848
101.01645,11,14.881738
54.447891,6,14.90063
45.128248,5,14.915489
36.201634,4,14.930267
45.11431,5,14.945853
44.658854,5,14.96057
45.326713,5,14.973637
35.805283,4,14.98834
54.315774,6,15.006805
72.780446,8,15.031282
44.956907,5,15.050091
45.315223,5,15.729908
45.365433,5,15.744337
54.147302,6,15.763385
63.822498,7,15.78182
45.369853,5,15.798338
82.274083,9,15.824771
35.511442,4,15.841301
45.201554,5,15.858279
44.772989,5,15.874403
44.852468,5,15.891544
64.191902,7,15.913526
45.096787,5,15.930609
64.213896,7,15.950644
63.503951,7,15.970704
36.043624,4,15.986621
45.309317,5,16.000878
35.799411,4,16.015665
54.008858,6,16.746211
53.99574,6,16.766985
44.894051,5,16.78314
36.1977,4,16.798353
35.930415,4,16.812368
35.895437,4,16.825851
82.385335,9,16.848279
54.320076,6,16.864358
36.130641,4,16.877875
35.630173,4,16.894484
35.904204,4,16.906834
35.631548,4,16.922457
45.304173,5,16.941198
45.535741,5,16.952968
35.956302,4,16.968912
63.710016,7,16.987705
54.910204,6,17.005506
45.229221,5,17.023152
35.784139,4,17.03571
82.514085,9,17.056185
54.533664,6,17.78817
54.545141,6,17.803761
54.654527,6,17.819838
63.720876,7,17.840106
54.335781,6,17.856077
92.016306,10,17.882762
64.00416,7,17.901349
64.072024,7,17.913634
63.360622,7,17.933053
64.209832,7,17.951462
63.571475,7,17.970755
35.488975,4,17.984748
54.484584,6,17.998513
64.096812,7,18.020598
