eval_qs,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,ep_rewmean,env_time,episodes,current_lr,fps,act_time,eplenmean,qs_difference,qs_abs_difference,n_updates,train_time,update_time,discount_q,mean 100 episode reward,qfs_loss,q_grad_norm
,,88000,,,,,,,3600,3.5876625,28.011212624999995,128,88,0.0003,24,58,1000.0,1.1658888307726996,1.1660894162055493,126200,1669,1510,2.3356512442553025e-12,28.0,0.011572169,1.2638816
3.2676766,59.93682781818182,90001,1000.0,0.38010722,24.7,0.19212539358981576,25,29.476077620876605,,,,,,,,,,,,,,,,,,
,,92000,,,,,,,3903,3.3455467,29.058350576086948,135,92,0.0003,23,62,1000.0,0.7602575540577463,0.8713457045416355,134200,1779,1667,2.1990583126968104e-12,29.1,0.011803465,1.3025928
,,96000,,,,,,,4188,3.3449438,29.9969500625,141,96,0.0003,22,66,1000.0,0.4879936822442597,0.6562607177999742,142200,1887,1832,2.1892901929404246e-12,30.0,0.01099107,1.3035207
,,100000,,,,,,,4479,3.3512387,31.15637537,147,100,0.0003,22,69,1000.0,0.10863138211809499,0.43543755627236186,150200,1987,2012,2.3052870999646115e-12,31.2,0.010971213,1.3382143
4.5692406,51.544847454545454,100001,1000.0,2.2775168,33.1,2.189182422778055,25,28.024511844590563,,,,,,,,,,,,,,,,,,
,,104000,,,,,,,4798,5.559602,33.0340653,153,104,0.0003,21,73,1000.0,4.424596581846268,4.424596581846268,158200,2085,2197,2.1716472654577874e-12,33.0,0.010989296,1.2513216
,,108000,,,,,,,5090,4.203255,36.11265037,160,108,0.0003,21,77,1000.0,-0.015140766529685113,0.47019332514117296,166200,2185,2378,2.3669131757364184e-12,36.1,0.013058774,1.2710651
5.387856,63.45995863636363,110001,1000.0,1.8373951,42.7,1.8299381503071677,25,28.162398875884367,,,,,,,,,,,,,,,,,,
,,112000,,,,,,,5410,5.7657576,38.934587949999994,166,112,0.0003,20,80,1000.0,0.8226417075157313,0.8226995974078813,174200,2284,2561,2.335984209043579e-12,38.9,0.010659028,1.3848845
,,116000,,,,,,,5705,6.555596,42.46730762,172,116,0.0003,20,84,1000.0,0.19369798219593712,0.56729429214118,182200,2384,2746,2.5317315055592614e-12,42.5,0.010406772,1.3373909
,,120000,,,,,,,5999,7.9731555,46.4186981,178,120,0.0003,20,88,1000.0,1.560057957721975,2.0042023145619643,190200,2485,2928,1.992253803414194e-12,46.4,0.014038968,1.7864221
8.081056,99.69165572727273,120001,1000.0,1.6787136,50.6,0.8705755107857424,25,27.86550750475875,,,,,,,,,,,,,,,,,,
,,124000,,,,,,,6317,9.089564,50.26975561000001,184,124,0.0003,19,91,1000.0,0.9050515232463918,1.3804157588179617,198200,2583,3111,2.4854389829580003e-12,50.3,0.011016527,1.5274681
,,128000,,,,,,,6610,9.611557,53.52368494,190,128,0.0003,19,95,1000.0,0.362479192669452,0.7785434282319358,206200,2683,3292,2.254320363882929e-12,53.5,0.006997248,1.0773997
9.17666,106.14538081818182,130001,1000.0,1.9547913,59.0,1.562334602766124,25,30.30517930334903,,,,,,,,,,,,,,,,,,
,,132000,,,,,,,6927,9.445816,56.83555633000001,197,132,0.0003,19,99,1000.0,0.6667949729707723,0.8520782452458134,214200,2780,3475,2.520497448243908e-12,56.8,0.005885953,0.9833696
