#{"t_start": 1651788267.9088955, "env_id": "Walker2d-v3"}
r,l,t
-0.026089,12,6.621451
-5.108834,19,6.640529
-0.535759,23,6.66346
3.149681,15,6.679608
-1.562363,33,7.002748
-2.01293,25,7.029926
0.369371,19,7.051466
-10.494362,18,7.071611
-5.954159,19,7.092596
-2.796037,19,7.13407
1.555639,29,7.163563
3.84955,19,7.184145
4.375579,20,7.205715
-1.984937,8,7.217172
-4.150025,9,7.227303
-0.725835,21,7.278077
-1.437831,15,7.296778
-8.135655,23,7.319205
-2.989952,16,7.3367
14.921302,45,7.425373
-3.257254,11,7.444413
-1.126934,16,7.461028
1.582314,25,7.485357
16.044917,42,7.574504
0.347395,34,7.632652
-2.179511,12,7.656012
5.7899,19,7.683534
-1.021905,13,7.705778
7.383872,43,7.830086
-2.235728,13,7.85534
0.609119,16,7.8813
-2.038389,14,7.903747
0.820905,14,7.928223
-5.343091,33,8.057402
5.255842,15,8.083641
-3.785132,21,8.113295
28.085241,51,8.179203
-0.930427,9,8.29387
5.994245,36,8.337923
-2.936474,25,8.376849
16.994251,31,8.423947
8.623631,37,8.575789
13.05199,57,8.653203
-0.822356,24,8.800936
-4.49977,11,8.822411
4.636965,18,8.849148
-6.645977,20,8.876718
1.30531,14,8.900147
-0.574283,10,8.919156
4.050609,25,9.072637
-3.148181,19,9.103045
-0.944545,25,9.138057
-7.7877,20,9.169545
4.392105,27,9.327462
8.550706,27,9.352017
7.689185,24,9.373922
3.217869,18,9.392571
-1.994204,11,9.404188
-3.84905,24,9.523273
0.659542,12,9.538056
-5.549709,19,9.558433
16.489867,33,9.590729
-1.142738,10,9.605401
-1.317722,12,9.618437
-4.137374,18,9.750846
5.731992,20,9.770838
-0.156346,15,9.787843
0.540034,32,9.818212
-1.122405,23,9.968936
-5.579374,20,9.990618
2.168496,16,10.00799
1.284675,19,10.026888
-7.396846,19,10.048851
3.502536,15,10.066561
-2.84206,18,10.212293
-2.265602,16,10.228823
3.610143,19,10.250508
-3.637307,23,10.274421
4.806718,20,10.29593
7.254989,36,10.46615
3.115661,12,10.484027
5.500144,24,10.507646
1.513223,12,10.521811
-7.003774,18,10.540021
7.964509,36,10.717165
-6.088288,15,10.735626
4.967637,19,10.756486
-3.194462,14,10.772379
0.404393,15,10.788947
3.676411,14,10.955749
5.384716,19,10.975596
2.024382,14,10.991862
0.621591,12,11.006328
-0.778375,11,11.019131
-2.612131,9,11.029422
6.759362,31,11.216068
-3.942661,22,11.244058
