eval_ep_rewmean,eval_qs_difference,eval_qs,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_time_elapsed,n_updates,qs_difference,qs_mean,mean 100 episode reward,qs_abs_difference,time_elapsed,act_time,train_time,eplenmean,episodes,env_time,update_time,discount_q,ep_rewmean,fps,current_lr,qfs_loss,q_grad_norm
,,,88000,,,,,,126200,1.4733862592817668,4.8072963,28.2,1.829602712771443,3838,64,1639,1000.0,88,138,1736,2.482648391187837e-12,28.228839545454544,22,0.0003,0.021088682,1.7730289
75.81457536363637,1.0146064486737882,5.5886903,90001,29.3,30.37751084479104,1000.0,1.5448242,24,,,,,,,,,,,,,,,,,,
,,,92000,,,,,,134200,4.665530142285798,7.2573533,30.5,4.665530142285798,4141,68,1743,1000.0,92,144,1899,2.119284159384141e-12,30.464621423913037,22,0.0003,0.0240287,1.6776546
,,,96000,,,,,,142200,1.1672033177565524,11.380117,32.6,1.3262610727906303,4426,72,1844,1000.0,96,151,2072,2.3995981345001044e-12,32.63898060416667,21,0.0003,0.019132545,1.4543179
,,,100000,,,,,,150200,0.5267742614203968,12.282536,37.1,0.9825238201743637,4710,75,1945,1000.0,100,157,2244,2.536442108452349e-12,37.10369322,21,0.0003,0.020361569,1.4747256
116.86628309090908,0.6611990249707048,9.261888,100001,43.1,31.171116699388026,1000.0,1.0844502,26,,,,,,,,,,,,,,,,,,
,,,104000,,,,,,158200,1.7675229221350102,3.73711,41.5,1.9623386954570448,5013,79,2034,1000.0,104,163,2421,2.5251801125898897e-12,41.45761818,20,0.0003,0.021159412,1.7040669
,,,108000,,,,,,166200,1.9212958152170037,4.3318496,45.6,1.9472814740404283,5305,83,2136,1000.0,108,169,2600,2.4316567287256307e-12,45.62860306999999,20,0.0003,0.018717045,1.7184978
138.90386854545457,2.073378061925467,12.8149805,110001,60.0,31.805914487541916,1000.0,2.3191001,24,,,,,,,,,,,,,,,,,,
,,,112000,,,,,,174200,1.3314527645821796,11.673055,51.2,1.331603209334259,5621,86,2237,1000.0,112,175,2778,2.454521781224687e-12,51.222726049999984,19,0.0003,0.015782526,1.3710588
,,,116000,,,,,,182200,0.9398568063257535,12.650406,55.6,0.9528525010952889,5918,90,2340,1000.0,116,181,2960,2.625824476119316e-12,55.579366009999994,19,0.0003,0.0152995195,1.4368995
,,,120000,,,,,,190200,0.6208575934272984,12.431464,61.3,0.8152680479240966,6214,94,2442,1000.0,120,188,3144,2.5705720617571785e-12,61.33436268000001,19,0.0003,0.0149920015,1.3130906
119.20906218181818,2.143891784550361,10.926766,120001,71.3,31.6972801716613,1000.0,2.2518156,25,,,,,,,,,,,,,,,,,,
,,,124000,,,,,,198200,1.1302300973863928,12.765733,67.5,1.1953797495670702,6537,98,2546,1000.0,124,194,3326,2.577668654345556e-12,67.48469397,18,0.0003,0.01275735,1.2615987
,,,128000,,,,,,206200,1.4823419583449668,6.1888747,72.2,1.6049852081496478,6833,101,2649,1000.0,128,200,3508,2.5051572149097033e-12,72.19989928,18,0.0003,0.013415559,1.1886523
153.53059254545454,0.8610571758346087,12.967678,130001,84.4,32.79231205665626,1000.0,1.4245656,26,,,,,,,,,,,,,,,,,,
,,,132000,,,,,,214200,2.1616600911704977,12.276187,76.9,2.1718424811158705,7149,105,2745,1000.0,132,207,3691,2.471222686918513e-12,76.85280993,18,0.0003,0.009804155,1.0543498
,,,136000,,,,,,222200,1.8718352754802927,12.470137,81.2,1.9588140030146113,7450,109,2849,1000.0,136,213,3877,2.661920617793508e-12,81.24798466,18,0.0003,0.00892098,0.962655
,,,140000,,,,,,230200,0.8289064826718864,12.519142,85.6,0.931251892133859,7756,112,2958,1000.0,140,219,4063,2.62542291955495e-12,85.59223387,18,0.0003,0.0074575716,0.9529544
146.83604054545455,0.9953209828405624,12.443143,140001,95.7,32.68466530957181,1000.0,1.6542614,25,,,,,,,,,,,,,,,,,,
,,,144000,,,,,,238200,1.1308189881818373,11.808534,89.3,1.1368725389119256,8081,116,3061,1000.0,144,225,4247,2.719316219432778e-12,89.27460674999999,17,0.0003,0.008582323,1.0606914
,,,148000,,,,,,246200,1.1681041135146346,11.880436,93.1,1.1846652062846146,8377,120,3163,1000.0,148,232,4430,2.664658565629396e-12,93.06708844000002,17,0.0003,0.007692163,0.9158275
140.06156354545453,1.1765464493635465,11.952025,150001,108.1,32.633106662223454,1000.0,1.4746754,25,,,,,,,,,,,,,,,,,,
,,,152000,,,,,,254200,1.1960820329450073,12.095951,97.5,1.2108065938712047,8693,123,3261,1000.0,152,238,4612,2.5543861727151375e-12,97.51510664000001,17,0.0003,0.006428371,0.7549934
,,,156000,,,,,,262200,0.9242070092329149,12.099155,101.9,0.9822794822070179,8986,127,3360,1000.0,156,244,4794,2.6874180604141756e-12,101.89719543,17,0.0003,0.0060136323,0.74625796
,,,160000,,,,,,270200,0.8012696362252558,12.396451,106.9,0.8934515106320646,9284,131,3463,1000.0,160,250,4978,2.5835351561697788e-12,106.90322605000001,17,0.0003,0.005697882,0.81621385
137.67172036363638,0.9228193217527142,11.427917,160001,118.6,32.95025993467079,1000.0,1.4148536,25,,,,,,,,,,,,,,,,,,
,,,164000,,,,,,278200,0.8763672161049547,12.463012,111.7,0.9334658719721223,9604,134,3563,1000.0,164,257,5161,2.7313188217848918e-12,111.65939952,17,0.0003,0.0044892468,0.7180794
,,,168000,,,,,,286200,0.4982764960347955,9.535063,115.6,0.8433762486762093,9895,138,3660,1000.0,168,263,5344,2.5480105547261046e-12,115.58197519,16,0.0003,0.007139438,0.8944838
147.17683654545456,0.6592532803873578,12.094034,170001,128.9,33.160617984800815,1000.0,1.2142917,25,,,,,,,,,,,,,,,,,,
,,,172000,,,,,,294200,1.115975040593136,12.42993,119.5,1.1220639776546795,10212,142,3759,1000.0,172,269,5525,2.520230491036649e-12,119.46140995999998,16,0.0003,0.004999248,0.7658993
,,,176000,,,,,,302200,0.9562081975540132,12.395267,123.5,0.9981141078558757,10501,146,3857,1000.0,176,275,5704,2.6587198508208933e-12,123.51079353999998,16,0.0003,0.0051575433,0.78184783
,,,180000,,,,,,310200,1.744487732155705,12.231058,127.1,1.7981487886077991,10794,149,3955,1000.0,180,282,5888,2.7438677752809005e-12,127.06197879000001,16,0.0003,0.0046466677,0.70921516
147.19515290909092,0.7328374417548815,12.178936,180001,137.5,33.06481993428152,1000.0,1.3506446,25,,,,,,,,,,,,,,,,,,
,,,184000,,,,,,318200,-0.8279214325627949,10.520169,130.7,1.6686853558750885,11111,153,4055,1000.0,184,288,6068,2.5247035864224555e-12,130.65724448,16,0.0003,0.023330167,1.1887708
,,,188000,,,,,,326200,3.9150708286279206,12.4173155,133.3,4.019751691760411,11401,157,4153,1000.0,188,294,6250,2.4583536122176378e-12,133.34934226999997,16,0.0003,0.0077160676,0.7738524
146.79910554545455,1.6713275783719324,13.0860405,190001,141.7,32.98180124191665,1000.0,2.0144777,25,,,,,,,,,,,,,,,,,,
,,,192000,,,,,,334200,0.9891064861651421,12.465905,135.9,0.9905603021497271,11716,160,4251,1000.0,192,300,6431,2.586475854509604e-12,135.88647799,16,0.0003,0.0058591743,0.8295023
,,,196000,,,,,,342200,1.954581115367137,11.764555,138.3,2.323297887176138,12007,164,4349,1000.0,196,307,6612,2.6218996987566633e-12,138.29462679000002,16,0.0003,0.005724689,0.68620837
,,,200000,,,,,,350200,3.401869776243052,9.024785,137.8,3.4205824983779594,12298,168,4448,1000.0,200,313,6793,2.670984550063844e-12,137.79198532,16,0.0003,0.005914663,0.7422733
142.49938654545457,1.049023214360651,12.0455475,200001,142.4,32.86276276736992,1000.0,1.5477214,25,,,,,,,,,,,,,,,,,,
,,,204000,,,,,,358200,1.2192476718842487,10.666957,138.9,1.2207171328232675,12613,171,4546,1000.0,204,319,6974,2.5732854974245474e-12,138.87374226999998,16,0.0003,0.005103974,0.70681894
,,,208000,,,,,,366200,1.0326807857725866,12.357295,140.4,1.0765557901750127,12905,175,4643,1000.0,208,325,7157,2.702816118696266e-12,140.39071691000004,16,0.0003,0.004451248,0.67777026
148.746246,0.720150014633839,12.247675,210001,145.1,33.809096366261144,1000.0,1.2746114,25,,,,,,,,,,,,,,,,,,
,,,212000,,,,,,374200,1.7568310027045473,12.594137,140.4,1.76586588933956,13219,179,4740,1000.0,212,332,7337,2.6518243516110316e-12,140.36187404000003,16,0.0003,0.004759988,0.68216836
,,,216000,,,,,,382200,1.0997945997492624,12.450616,141.1,1.1099446745744854,13510,182,4840,1000.0,216,338,7518,2.69157688684072e-12,141.10028285,15,0.0003,0.0051383134,0.717604
,,,220000,,,,,,390200,0.6900239392482926,11.665234,141.1,1.0061128233512302,13801,186,4940,1000.0,220,344,7697,2.5648503006967988e-12,141.07270124,15,0.0003,0.0046031703,0.5890461
145.60620418181816,0.6777050049375147,11.928718,220001,144.9,33.43037578943899,1000.0,1.2409819,25,,,,,,,,,,,,,,,,,,
,,,224000,,,,,,398200,1.2528167316752,12.06876,140.9,1.3051389720055797,14118,190,5043,1000.0,224,350,7874,2.723704087222596e-12,140.85339066,15,0.0003,0.004054876,0.5393672
,,,228000,,,,,,406200,0.987610253880013,12.559746,141.3,0.9936237274655745,14409,194,5153,1000.0,228,357,8045,2.7556395704866743e-12,141.26660230000002,15,0.0003,0.003549992,0.5866296
149.08328872727273,0.7309910813167715,12.344263,230001,145.1,33.28340182119436,1000.0,1.2659923,25,,,,,,,,,,,,,,,,,,
,,,232000,,,,,,414200,0.9869604425348378,11.92842,141.3,1.1311849428713414,14727,197,5264,1000.0,232,363,8216,2.7040669397134114e-12,141.3289226,15,0.0003,0.0034274808,0.5169023
,,,236000,,,,,,422200,1.0371979032081415,12.417265,141.3,1.040360771613126,15020,201,5374,1000.0,236,370,8386,2.7146265568639703e-12,141.27918061999998,15,0.0003,0.0037256363,0.5564298
,,,240000,,,,,,430200,2.466616360100824,12.070355,140.5,2.466616360100824,15313,205,5479,1000.0,240,376,8563,2.6191324905828264e-12,140.48530040000003,15,0.0003,0.0035515227,0.5658683
137.48285463636364,1.191750660237886,11.643821,240001,144.7,33.29509582374545,1000.0,1.4388688,25,,,,,,,,,,,,,,,,,,
,,,244000,,,,,,438200,1.1306713048676975,12.1836815,140.8,1.1313992503811143,15633,209,5581,1000.0,244,382,8744,2.535419508937859e-12,140.84035249000001,15,0.0003,0.0038408125,0.51853865
,,,248000,,,,,,446200,0.8896117607776827,11.816983,141.0,0.9366962219599068,15923,212,5678,1000.0,248,389,8926,2.580460157225299e-12,140.98663152999998,15,0.0003,0.0031851856,0.49803022
148.87835445454544,0.6735503001892386,12.237405,250001,145.9,33.57557345963158,1000.0,1.2392354,25,,,,,,,,,,,,,,,,,,
,,,252000,,,,,,454200,0.988993137211347,12.111942,141.1,1.0260522711382227,16242,216,5777,1000.0,252,395,9108,2.6520464367520007e-12,141.08049927000002,15,0.0003,0.0032319843,0.47601935
,,,256000,,,,,,462200,0.9577367073387455,12.195084,141.0,0.9840857970976152,16531,220,5873,1000.0,256,401,9290,2.63043841532563e-12,141.04938931,15,0.0003,0.0035711825,0.5082296
,,,260000,,,,,,470200,0.9966999758912883,12.299574,141.2,1.0245223763298639,16827,224,5976,1000.0,260,408,9471,2.506724856560228e-12,141.18113929,15,0.0003,0.0037081041,0.5600801
141.81167145454546,1.1147160738073618,11.99282,260001,145.4,33.36428323399909,1000.0,1.3986832,24,,,,,,,,,,,,,,,,,,
,,,264000,,,,,,478200,1.4390606159217023,12.459953,141.0,1.4399250984217953,17144,227,6076,1000.0,264,414,9654,2.6106963761715152e-12,141.01634612,15,0.0003,0.0031022835,0.52176136
,,,268000,,,,,,486200,1.5733911722296585,12.274025,141.0,1.5778041823704503,17435,231,6172,1000.0,268,420,9836,2.621664475761441e-12,140.99709991,15,0.0003,0.0031779043,0.4876514
145.1128387272727,0.9685092977089501,12.209687,270001,145.1,33.03138007035219,1000.0,1.3732059,25,,,,,,,,,,,,,,,,,,
,,,272000,,,,,,494200,1.132019602076689,12.295646,141.2,1.15232592104868,17747,235,6268,1000.0,272,427,10016,2.5974267754905124e-12,141.18386424000002,15,0.0003,0.0027752437,0.45785335
,,,276000,,,,,,502200,1.0400985610963795,12.327394,141.0,1.0664366983823395,18038,238,6365,1000.0,276,433,10198,2.584504691099385e-12,140.97432488,15,0.0003,0.0030833709,0.45543572
,,,280000,,,,,,510200,1.0849716040878303,12.294226,140.9,1.0985614961759815,18330,242,6464,1000.0,280,439,10380,2.6166827975217828e-12,140.89939356000002,15,0.0003,0.0024266073,0.39934933
145.07289981818184,0.7810986136011059,11.939618,280001,145.0,33.82596780588797,1000.0,1.2221416,25,,,,,,,,,,,,,,,,,,
,,,284000,,,,,,518200,1.0090217583917889,12.29824,140.9,1.0175526351378503,18649,246,6564,1000.0,284,446,10563,2.5581512121399307e-12,140.86049758000001,15,0.0003,0.0027626345,0.4513382
,,,288000,,,,,,526200,1.0190037663538518,12.196317,141.7,1.0345260492200787,18938,250,6659,1000.0,288,452,10745,2.6683407717113443e-12,141.74065939,15,0.0003,0.0025726268,0.45871097
145.04923172727274,0.8034376400647166,11.966052,290001,145.2,33.760708548889454,1000.0,1.2127804,25,,,,,,,,,,,,,,,,,,
,,,292000,,,,,,534200,0.9875439753461579,12.212889,141.8,1.003197449068563,19259,253,6761,1000.0,292,458,10927,2.7319383572522002e-12,141.82231198000002,15,0.0003,0.0026077146,0.4538724
