#{"t_start": 1651884213.9554694, "env_id": "InvertedPendulum-v2"}
r,l,t
9.0,9,5.88405
9.0,9,5.895998
4.0,4,5.908309
3.0,3,5.919325
4.0,4,5.930386
8.0,8,5.949433
7.0,7,5.968414
6.0,6,5.979702
3.0,3,5.987646
5.0,5,6.000674
6.0,6,6.017277
10.0,10,6.04085
5.0,5,6.054643
3.0,3,6.063606
3.0,3,6.071544
3.0,3,6.078968
4.0,4,6.094895
4.0,4,6.105798
3.0,3,6.115122
6.0,6,6.454079
8.0,8,6.474412
4.0,4,6.486176
4.0,4,6.491609
9.0,9,6.503237
3.0,3,6.515349
3.0,3,6.525034
9.0,9,6.546891
4.0,4,6.559932
3.0,3,6.569961
5.0,5,6.585624
3.0,3,6.595173
10.0,10,6.615232
3.0,3,6.629046
9.0,9,6.648251
11.0,11,6.66728
4.0,4,6.679488
8.0,8,6.787114
8.0,8,6.806473
3.0,3,6.816659
6.0,6,6.831126
8.0,8,6.845547
5.0,5,6.858115
4.0,4,6.869661
4.0,4,6.883195
10.0,10,6.903541
3.0,3,6.916257
5.0,5,6.925498
7.0,7,6.941825
3.0,3,6.953917
4.0,4,6.965885
7.0,7,6.980882
3.0,3,6.99117
6.0,6,7.006971
4.0,4,7.020597
8.0,8,7.176517
4.0,4,7.187854
4.0,4,7.196901
3.0,3,7.202059
4.0,4,7.206327
9.0,9,7.215049
3.0,3,7.220688
5.0,5,7.229766
3.0,3,7.239444
3.0,3,7.247463
3.0,3,7.256047
3.0,3,7.264081
6.0,6,7.277994
3.0,3,7.28756
13.0,13,7.314136
3.0,3,7.326186
8.0,8,7.343776
4.0,4,7.354605
4.0,4,7.363253
6.0,6,7.37636
4.0,4,7.387195
4.0,4,7.577531
18.0,18,7.61492
3.0,3,7.629798
14.0,14,7.651172
3.0,3,7.662775
5.0,5,7.67148
13.0,13,7.693825
3.0,3,7.704659
10.0,10,7.71814
5.0,5,7.73135
6.0,6,7.744875
3.0,3,7.753227
5.0,5,7.764692
8.0,8,7.782265
6.0,6,8.002155
4.0,4,8.013727
3.0,3,8.025267
3.0,3,8.035287
3.0,3,8.044536
4.0,4,8.055625
3.0,3,8.06422
23.0,23,8.103222
6.0,6,8.122718
5.0,5,8.138993
7.0,7,8.149817
4.0,4,8.158205
8.0,8,8.176127
3.0,3,8.186699
4.0,4,8.195993
4.0,4,8.205716
6.0,6,8.221992
5.0,5,8.233196
4.0,4,8.496581
4.0,4,8.504596
3.0,3,8.508816
4.0,4,8.51364
3.0,3,8.518178
4.0,4,8.523836
3.0,3,8.528288
8.0,8,8.541834
7.0,7,8.559
4.0,4,8.56623
5.0,5,8.574357
8.0,8,8.593579
5.0,5,8.609077
3.0,3,8.619415
6.0,6,8.631125
11.0,11,8.651716
3.0,3,8.665438
8.0,8,8.679156
4.0,4,8.689444
6.0,6,9.003718
8.0,8,9.012615
4.0,4,9.019108
3.0,3,9.023322
4.0,4,9.028045
8.0,8,9.042491
3.0,3,9.055223
4.0,4,9.067742
5.0,5,9.077816
6.0,6,9.087101
6.0,6,9.098229
3.0,3,9.108743
5.0,5,9.120066
3.0,3,9.131129
6.0,6,9.146158
6.0,6,9.159382
14.0,14,9.184404
4.0,4,9.20032
3.0,3,9.213622
7.0,7,9.572044
3.0,3,9.58282
4.0,4,9.593348
7.0,7,9.609727
8.0,8,9.629624
3.0,3,9.64181
12.0,12,9.667824
9.0,9,9.691552
4.0,4,9.702029
3.0,3,9.71193
5.0,5,9.7241
10.0,10,9.746005
3.0,3,9.757084
5.0,5,9.766566
5.0,5,9.778646
5.0,5,9.792247
5.0,5,9.803902
4.0,4,9.817868
6.0,6,10.254068
3.0,3,10.263546
39.0,39,10.336372
4.0,4,10.360876
3.0,3,10.368723
4.0,4,10.381913
4.0,4,10.39134
3.0,3,10.399091
4.0,4,10.411152
3.0,3,10.423713
4.0,4,10.436802
3.0,3,10.447093
5.0,5,10.461401
5.0,5,10.477125
7.0,7,10.495785
10.0,10,10.983617
5.0,5,10.999724
3.0,3,11.013077
11.0,11,11.037079
11.0,11,11.069708
3.0,3,11.080282
3.0,3,11.091491
6.0,6,11.105193
4.0,4,11.11638
5.0,5,11.131667
4.0,4,11.146762
13.0,13,11.18047
3.0,3,11.193345
6.0,6,11.209402
4.0,4,11.222549
5.0,5,11.234109
4.0,4,11.247079
3.0,3,11.258842
12.0,12,11.78291
3.0,3,11.796271
12.0,12,11.82283
5.0,5,11.836406
3.0,3,11.844794
3.0,3,11.85326
4.0,4,11.863584
4.0,4,11.874862
4.0,4,11.884912
9.0,9,11.904977
3.0,3,11.918511
4.0,4,11.931446
17.0,17,11.966409
8.0,8,11.992127
10.0,10,12.015823
3.0,3,12.572214
3.0,3,12.585132
3.0,3,12.594985
3.0,3,12.605224
4.0,4,12.619609
3.0,3,12.632024
11.0,11,12.655539
6.0,6,12.671094
3.0,3,12.681098
8.0,8,12.699072
3.0,3,12.710688
5.0,5,12.722624
3.0,3,12.731412
6.0,6,12.745908
3.0,3,12.755939
5.0,5,12.766814
4.0,4,12.778253
9.0,9,12.79757
5.0,5,12.810356
7.0,7,12.822615
4.0,4,13.350097
10.0,10,13.371897
5.0,5,13.387978
3.0,3,13.398742
3.0,3,13.407888
3.0,3,13.419102
5.0,5,13.430443
4.0,4,13.440377
4.0,4,13.449652
7.0,7,13.462734
3.0,3,13.468644
7.0,7,13.480715
9.0,9,13.500421
3.0,3,13.511328
8.0,8,13.52985
5.0,5,13.544904
3.0,3,13.554389
3.0,3,13.564302
5.0,5,13.574255
4.0,4,13.584549
13.0,13,14.210603
3.0,3,14.2252
3.0,3,14.23387
4.0,4,14.243772
4.0,4,14.25564
3.0,3,14.264546
4.0,4,14.274702
4.0,4,14.282691
4.0,4,14.293419
4.0,4,14.30381
3.0,3,14.311077
7.0,7,14.327459
4.0,4,14.338686
14.0,14,14.370184
5.0,5,14.387281
3.0,3,14.397731
4.0,4,14.411226
3.0,3,14.419467
3.0,3,14.426119
7.0,7,14.443562
4.0,4,14.455385
6.0,6,15.110667
3.0,3,15.119926
5.0,5,15.130855
6.0,6,15.142392
4.0,4,15.156001
4.0,4,15.16475
3.0,3,15.174044
3.0,3,15.183966
4.0,4,15.19478
5.0,5,15.206541
4.0,4,15.219225
5.0,5,15.2307
3.0,3,15.240172
5.0,5,15.253807
12.0,12,15.278653
4.0,4,15.295425
5.0,5,15.303721
6.0,6,15.317552
9.0,9,15.336916
10.0,10,16.031214
4.0,4,16.041824
4.0,4,16.049248
5.0,5,16.058357
4.0,4,16.069857
4.0,4,16.082048
3.0,3,16.090442
5.0,5,16.102128
9.0,9,16.121242
4.0,4,16.130077
4.0,4,16.138042
3.0,3,16.144546
6.0,6,16.155241
3.0,3,16.16385
4.0,4,16.174803
10.0,10,16.193275
3.0,3,16.198989
3.0,3,16.204401
7.0,7,16.217094
5.0,5,16.230245
4.0,4,16.236919
3.0,3,16.975534
5.0,5,16.987675
5.0,5,17.000647
3.0,3,17.01227
11.0,11,17.035411
3.0,3,17.049796
3.0,3,17.05669
8.0,8,17.069734
4.0,4,17.080318
5.0,5,17.094814
6.0,6,17.107659
3.0,3,17.116254
3.0,3,17.127062
4.0,4,17.135338
12.0,12,17.155071
11.0,11,17.184008
8.0,8,17.213159
10.0,10,18.069124
3.0,3,18.082239
6.0,6,18.098884
3.0,3,18.110212
4.0,4,18.122904
4.0,4,18.135284
3.0,3,18.146076
7.0,7,18.164346
3.0,3,18.17614
4.0,4,18.187888
3.0,3,18.197744
6.0,6,18.211511
5.0,5,18.227375
5.0,5,18.242828
3.0,3,18.25439
3.0,3,18.266283
9.0,9,18.286852
3.0,3,18.296819
7.0,7,18.311252
4.0,4,18.327224
6.0,6,18.343977
3.0,3,18.355277
6.0,6,19.282793
5.0,5,19.300868
3.0,3,19.311893
5.0,5,19.324594
5.0,5,19.336898
8.0,8,19.357173
6.0,6,19.376973
10.0,10,19.395511
4.0,4,19.411729
3.0,3,19.423601
10.0,10,19.441657
3.0,3,19.455011
4.0,4,19.463219
3.0,3,19.474534
13.0,13,19.501625
4.0,4,19.515525
6.0,6,19.5293
12.0,12,20.448826
3.0,3,20.462229
7.0,7,20.475149
4.0,4,20.488621
7.0,7,20.50465
5.0,5,20.518415
15.0,15,20.549461
7.0,7,20.56814
3.0,3,20.579864
4.0,4,20.591389
4.0,4,20.604731
10.0,10,20.624351
13.0,13,20.655346
3.0,3,20.67594
4.0,4,20.682618
3.0,3,21.570321
5.0,5,21.58566
5.0,5,21.597565
3.0,3,21.605187
4.0,4,21.616684
12.0,12,21.634131
5.0,5,21.650325
4.0,4,21.662014
5.0,5,21.674121
14.0,14,21.694459
4.0,4,21.709607
5.0,5,21.723183
3.0,3,21.733103
5.0,5,21.74542
4.0,4,21.757292
3.0,3,21.767595
3.0,3,21.776596
4.0,4,21.788603
7.0,7,21.805371
3.0,3,21.812498
3.0,3,22.758842
4.0,4,22.774841
5.0,5,22.787618
6.0,6,22.802132
3.0,3,22.813845
3.0,3,22.819821
3.0,3,22.827864
4.0,4,22.838169
3.0,3,22.848688
3.0,3,22.85721
4.0,4,22.86484
3.0,3,22.872941
3.0,3,22.882284
4.0,4,22.896812
14.0,14,22.929012
4.0,4,22.943935
8.0,8,22.958111
6.0,6,22.970735
3.0,3,22.980172
9.0,9,23.002413
4.0,4,23.014028
13.0,13,24.011727
12.0,12,24.040739
5.0,5,24.058629
10.0,10,24.082222
5.0,5,24.094977
8.0,8,24.108667
4.0,4,24.122489
5.0,5,24.13608
5.0,5,24.14972
5.0,5,24.163835
16.0,16,24.185867
4.0,4,24.195073
3.0,3,24.205841
7.0,7,24.220969
6.0,6,25.350686
5.0,5,25.364996
9.0,9,25.389167
5.0,5,25.406448
5.0,5,25.417243
4.0,4,25.429769
7.0,7,25.450773
5.0,5,25.464746
3.0,3,25.476464
5.0,5,25.490682
8.0,8,25.512063
4.0,4,25.525859
4.0,4,25.541581
7.0,7,25.562935
6.0,6,25.580142
8.0,8,25.602488
8.0,8,25.621048
6.0,6,26.806801
5.0,5,26.820796
3.0,3,26.827934
3.0,3,26.837892
13.0,13,26.864419
9.0,9,26.893702
7.0,7,26.915069
