eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,2984,,,,,,-0.36327684,0.71337701,-1.2392989557178549,4,19.06,0,0,10,3,0.7,3.716773194367025,3.70923872807251,152,0.0003,295,0,,
,,,3052,,,,,,-0.2686622,0.69516645,-0.4125916772042778,4,19.05,0,0,10,3,0.7,2.4002127002647238,2.3932270746604596,156,0.0003,292,0,,
,,,3131,,,,,,0.09059445,0.62878017,0.47846890422806904,5,18.96,0,0,10,3,0.6,1.5023819625021912,1.2766153852081248,160,0.0003,289,0,,
,,,3242,,,,,,-0.22965886,1.04313486,10.953410531930752,5,19.36,0,0,11,3,1.0,11.324240243773497,-11.324240243773497,164,0.0003,283,0,,
,,,3316,,,,,,0.12663874,0.70916912,-3.8614751350551475,5,19.09,0,0,11,3,0.7,6.455278913133194,6.455278913133194,168,0.0003,276,0,,
,,,3414,,,,,,-0.1935528,0.8398445699999999,6.169502988423623,6,19.5,0,0,12,3,0.8,3.658121900042542,-2.431153338049862,172,0.0003,270,0,,
,,,3486,,,,,,-0.33682084,0.69554125,1.4796792450341094,6,19.45,0,0,12,3,0.7,0.8792326732862185,-0.09951654677343434,176,0.0003,273,0,,
,,,3570,,,,,,-0.107390754,0.67088452,-1.1521091269115464,6,19.38,0,0,13,3,0.7,2.827846887921439,2.807638900194989,180,0.0003,271,0,,
,,,3636,,,,,,-0.064112596,0.7285526000000001,1.535816090900196,7,19.42,0,0,13,3,0.7,1.5022903214615149,0.6079673486332491,184,0.0003,268,0,,
,,,3715,,,,,,-0.37686223,0.8069264899999999,2.6317945403000045,7,19.47,0,0,13,3,0.8,3.689755300674011,-3.689755300674011,188,0.0003,265,0,,
,,,3776,,,,,,-0.13816677,0.79595858,1.394120996297818,7,19.51,0,0,14,4,0.8,0.9671173422470697,-0.9294231472975418,192,0.0003,268,0,,
