#{"t_start": 1651871223.7308812, "env_id": "InvertedPendulum-v2"}
r,l,t
6.0,6,6.197133
6.0,6,6.215322
5.0,5,6.232401
13.0,13,6.260649
7.0,7,6.278686
12.0,12,6.300929
8.0,8,6.320801
8.0,8,6.33939
7.0,7,6.358142
13.0,13,6.385773
5.0,5,6.398054
3.0,3,6.407721
5.0,5,6.420208
10.0,10,6.727048
6.0,6,6.740165
4.0,4,6.752234
5.0,5,6.76568
5.0,5,6.78157
16.0,16,6.813372
9.0,9,6.839195
3.0,3,6.85354
3.0,3,6.86176
4.0,4,6.871177
3.0,3,6.876772
5.0,5,6.887644
5.0,5,6.901461
4.0,4,6.907866
7.0,7,6.919018
3.0,3,6.9276
3.0,3,6.935499
3.0,3,6.944541
3.0,3,6.952671
5.0,5,7.054895
14.0,14,7.0746
4.0,4,7.086198
3.0,3,7.091959
5.0,5,7.1057
5.0,5,7.115487
3.0,3,7.122354
3.0,3,7.128122
3.0,3,7.134352
3.0,3,7.142085
8.0,8,7.158354
3.0,3,7.169393
4.0,4,7.179151
11.0,11,7.197849
3.0,3,7.205658
17.0,17,7.232878
4.0,4,7.250294
3.0,3,7.255992
3.0,3,7.381796
7.0,7,7.4005
7.0,7,7.419274
10.0,10,7.441837
7.0,7,7.460851
11.0,11,7.486246
7.0,7,7.504785
3.0,3,7.5123
4.0,4,7.525213
7.0,7,7.536555
4.0,4,7.551213
3.0,3,7.558479
4.0,4,7.566519
8.0,8,7.584529
3.0,3,7.59239
4.0,4,7.600127
6.0,6,7.61287
7.0,7,7.798474
8.0,8,7.81843
3.0,3,7.831846
4.0,4,7.840835
4.0,4,7.851313
12.0,12,7.87755
10.0,10,7.894835
14.0,14,7.924266
5.0,5,7.941839
14.0,14,7.970243
6.0,6,7.984925
5.0,5,7.994035
9.0,9,8.011014
6.0,6,8.221799
13.0,13,8.252451
3.0,3,8.266234
8.0,8,8.28389
10.0,10,8.30256
4.0,4,8.321005
4.0,4,8.329117
10.0,10,8.345564
5.0,5,8.364897
5.0,5,8.377038
9.0,9,8.396706
3.0,3,8.4085
3.0,3,8.421475
7.0,7,8.442219
4.0,4,8.455124
9.0,9,8.73201
6.0,6,8.75335
4.0,4,8.767184
4.0,4,8.778163
4.0,4,8.788822
8.0,8,8.808287
7.0,7,8.829471
3.0,3,8.840254
5.0,5,8.854487
7.0,7,8.872516
5.0,5,8.8805
8.0,8,8.893628
3.0,3,8.901193
6.0,6,8.915468
3.0,3,8.926932
5.0,5,8.938549
9.0,9,8.959126
9.0,9,8.981314
15.0,15,9.310207
14.0,14,9.33619
10.0,10,9.36305
3.0,3,9.373595
2.0,2,9.380765
13.0,13,9.410215
3.0,3,9.424771
10.0,10,9.450547
3.0,3,9.460004
9.0,9,9.481527
3.0,3,9.49331
10.0,10,9.515833
7.0,7,9.535604
4.0,4,9.896072
6.0,6,9.913308
11.0,11,9.938947
3.0,3,9.949783
11.0,11,9.970731
4.0,4,9.989796
12.0,12,10.01611
3.0,3,10.023362
4.0,4,10.029325
4.0,4,10.041312
3.0,3,10.049856
3.0,3,10.055822
4.0,4,10.065104
3.0,3,10.077236
6.0,6,10.093085
11.0,11,10.118723
3.0,3,10.133374
5.0,5,10.145139
7.0,7,10.560062
5.0,5,10.576427
8.0,8,10.598508
3.0,3,10.607755
8.0,8,10.63063
5.0,5,10.647835
4.0,4,10.657724
3.0,3,10.66754
8.0,8,10.683511
10.0,10,10.706505
7.0,7,10.727122
9.0,9,10.747108
5.0,5,10.766727
14.0,14,10.796789
3.0,3,10.812085
8.0,8,11.259082
6.0,6,11.27633
3.0,3,11.288401
6.0,6,11.302266
5.0,5,11.315634
8.0,8,11.335354
17.0,17,11.370571
8.0,8,11.396837
4.0,4,11.408107
7.0,7,11.425298
4.0,4,11.44048
7.0,7,11.457108
6.0,6,11.472745
10.0,10,11.497093
