eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
,,,,,,88000,,,1.7327667352676812,1000.0,24,126200,88,0.0003,0.8300008719589368,1650,58,128,11.403126,32.5,2.3854533345029833e-12,3528,32.52897809090909,1460,2.182633,0.02901308
22,10.616573,0.7438513941316124,129.31762845454546,1.4436225,30.89940392673104,90001,1000.0,49.5,,,,,,,,,,,,,,,,,,
,,,,,,92000,,,0.8924118498318765,1000.0,24,134200,92,0.0003,0.13988227745749185,1755,61,134,11.83222,37.5,2.562203065979494e-12,3801,37.53902370652174,1596,1.4132476,0.01652881
,,,,,,96000,,,0.9897954095352872,1000.0,23,142200,96,0.0003,0.9643751946118098,1859,64,140,11.702026,41.6,2.5675357301741785e-12,4057,41.6309201875,1737,1.4293683,0.014360561
,,,,,,100000,,,1.1258858844584527,1000.0,23,150200,100,0.0003,0.9064852437337491,1964,68,146,11.887606,45.3,2.521172847937057e-12,4319,45.25392623,1884,1.2919633,0.013912664
22,12.145453,0.6919716988354024,146.1968350909091,1.2404488,31.981832616030328,100001,1000.0,61.4,,,,,,,,,,,,,,,,,,
,,,,,,104000,,,0.8777935892952449,1000.0,22,158200,104,0.0003,0.6768986870505814,2068,71,152,12.2842655,50.6,2.7311097265998274e-12,4607,50.637541199999994,2034,1.4765906,0.012620016
,,,,,,108000,,,2.271769110296748,1000.0,22,166200,108,0.0003,2.0417188305463663,2173,75,158,13.06967,56.7,2.538470323803481e-12,4872,56.658556360000006,2184,1.2464604,0.012133788
22,12.185593,0.6366651108686342,147.53728745454546,1.4137406,32.371735456921584,110001,1000.0,73.9,,,,,,,,,,,,,,,,,,
,,,,,,112000,,,1.3099999732639065,1000.0,21,174200,112,0.0003,1.2442571128027755,2277,78,164,12.809938,62.4,2.5889659804249983e-12,5160,62.44321883000001,2334,1.3401153,0.010633967
,,,,,,116000,,,0.9209952538522111,1000.0,21,182200,116,0.0003,0.8863408211148445,2382,82,170,13.598672,68.5,2.6176586322819597e-12,5426,68.49280279999999,2484,1.1214628,0.009444936
,,,,,,120000,,,0.9253783326468452,1000.0,21,190200,120,0.0003,0.9116312982906536,2486,85,176,12.803558,74.5,2.4937487439058527e-12,5691,74.54880519,2635,1.0791951,0.0076870793
