#{"t_start": 1651897062.76072, "env_id": "InvertedPendulum-v2"}
r,l,t
3.0,3,5.93408
5.0,5,5.940966
5.0,5,5.956524
6.0,6,5.966455
8.0,8,5.982758
3.0,3,5.9956
11.0,11,6.018046
4.0,4,6.032684
3.0,3,6.04056
4.0,4,6.048262
3.0,3,6.055887
4.0,4,6.068568
5.0,5,6.082196
5.0,5,6.09568
4.0,4,6.10754
3.0,3,6.117905
9.0,9,6.128106
3.0,3,6.133688
3.0,3,6.140732
5.0,5,6.155689
3.0,3,6.165262
5.0,5,6.521669
6.0,6,6.535549
7.0,7,6.550939
3.0,3,6.565224
3.0,3,6.572148
5.0,5,6.582993
5.0,5,6.594908
5.0,5,6.609486
3.0,3,6.619353
3.0,3,6.62835
3.0,3,6.634351
6.0,6,6.645493
8.0,8,6.659675
8.0,8,6.680606
13.0,13,6.705049
4.0,4,6.721094
6.0,6,6.734319
4.0,4,6.746349
3.0,3,6.757591
7.0,7,6.872194
9.0,9,6.888804
5.0,5,6.900129
7.0,7,6.916902
6.0,6,6.931563
4.0,4,6.941801
4.0,4,6.952975
3.0,3,6.9607
4.0,4,6.973029
7.0,7,6.990435
4.0,4,7.001539
3.0,3,7.010391
3.0,3,7.022089
6.0,6,7.036574
3.0,3,7.044414
3.0,3,7.050736
5.0,5,7.064272
4.0,4,7.073199
5.0,5,7.083684
10.0,10,7.243335
7.0,7,7.26123
4.0,4,7.271922
9.0,9,7.292369
3.0,3,7.304321
5.0,5,7.314762
6.0,6,7.329984
6.0,6,7.346096
5.0,5,7.356424
4.0,4,7.366233
5.0,5,7.380063
3.0,3,7.388355
5.0,5,7.397832
6.0,6,7.414685
3.0,3,7.419516
5.0,5,7.428983
7.0,7,7.446651
10.0,10,7.471854
5.0,5,7.489296
5.0,5,7.685564
3.0,3,7.695176
10.0,10,7.718271
3.0,3,7.730111
6.0,6,7.743214
4.0,4,7.755074
6.0,6,7.770474
5.0,5,7.786729
3.0,3,7.793612
6.0,6,7.804273
25.0,25,7.853275
4.0,4,7.87361
6.0,6,7.887451
5.0,5,7.901458
4.0,4,7.915675
2.0,2,7.922789
3.0,3,7.930101
10.0,10,8.172352
3.0,3,8.185453
3.0,3,8.194365
7.0,7,8.210562
3.0,3,8.221536
4.0,4,8.23215
6.0,6,8.245716
3.0,3,8.250067
