eval_abs_qs_difference,total timesteps,eval_qs_difference,eval_qs,eval_discount_q,eval_time_elapsed,eval_ep_rewmean,eval mean 100 episode reward,eval_eplenmean,time_elapsed,update_time,qs_mean,env_time,fps,n_updates,ep_rewmean,train_time,discount_q,qs_abs_difference,qs_difference,act_time,current_lr,episodes,mean 100 episode reward,eplenmean,qfs_loss,q_grad_norm
,88000,,,,,,,,3517,1444,9.078891,126,25,126200,37.93016639772728,1657,2.4877870704971064e-12,1.33880213731909,0.5329632401273765,58,0.0003,88,37.9,1000.0,0.020910075,1.8902153
1.3289784,90001,0.3657259116866472,10.367039,31.619108045364737,22,131.31604254545456,50.3,1000.0,,,,,,,,,,,,,,,,,,
,92000,,,,,,,,3789,1578,11.103282,132,24,134200,41.71763091304348,1762,2.4830702109628674e-12,1.4733843126304593,1.3619770248847423,61,0.0003,92,41.7,1000.0,0.015889779,1.4595686
,96000,,,,,,,,4044,1718,11.313137,138,23,142200,45.36065690625001,1867,2.267920242228066e-12,1.0136306630292016,0.9602265437992596,65,0.0003,96,45.4,1000.0,0.01344077,1.2247366
,100000,,,,,,,,4306,1864,10.812039,144,23,150200,48.79555075000001,1972,2.4275648721615328e-12,1.068179923096886,1.0499690949880978,68,0.0003,100,48.8,1000.0,0.01268887,1.1741258
1.3996059,100001,0.8869983460870556,11.356268,32.536650696644486,22,136.90397727272727,64.1,1000.0,,,,,,,,,,,,,,,,,,
,104000,,,,,,,,4592,2012,11.717076,149,22,158200,54.180581390000015,2077,2.4708223753957263e-12,1.1000439011200596,1.0718709936966833,72,0.0003,104,54.2,1000.0,0.012241364,1.2454326
,108000,,,,,,,,4855,2160,11.351693,155,22,166200,59.54555856000001,2182,2.560132979173235e-12,0.9718372824984002,0.932995509618873,75,0.0003,108,59.5,1000.0,0.010285385,0.9957393
2.024752,110001,1.7858325247615168,11.132858,32.19860809273051,22,125.346877,76.8,1000.0,,,,,,,,,,,,,,,,,,
,112000,,,,,,,,5141,2308,11.433331,161,21,174200,64.67249778,2287,2.630717028319679e-12,1.0319331316815776,0.9061122002641896,79,0.0003,112,64.7,1000.0,0.010340916,1.2042918
,116000,,,,,,,,5405,2456,11.4372425,167,21,182200,69.96780179999999,2392,2.5545382162328104e-12,1.030092600357007,1.0217228984415183,82,0.0003,116,70.0,1000.0,0.01084842,1.2832167
,120000,,,,,,,,5669,2604,11.225256,173,21,190200,75.3219613,2497,2.615511402476513e-12,1.3573788553037462,1.3219717422614832,85,0.0003,120,75.3,1000.0,0.008010761,1.0863403
1.0804505,120001,0.5417728278544577,11.005338,32.53188231384228,22,136.84221318181818,89.4,1000.0,,,,,,,,,,,,,,,,,,
,124000,,,,,,,,5955,2752,11.364996,179,20,198200,80.76769363,2602,2.6801521322689143e-12,0.93468507228129,0.9077283679954979,89,0.0003,124,80.8,1000.0,0.008984777,1.1443415
,128000,,,,,,,,6219,2901,11.594621,185,20,206200,85.29177106000002,2707,2.6773722395838376e-12,0.9326181139976694,0.8311340357150876,92,0.0003,128,85.3,1000.0,0.007120979,1.0336785
1.2348653,130001,0.7035900799758289,11.454168,32.64749045802182,22,139.82679618181817,101.2,1000.0,,,,,,,,,,,,,,,,,,
,132000,,,,,,,,6505,3049,11.752666,190,20,214200,89.40340497,2811,2.4801141257712603e-12,1.2812925153154167,1.2357540333346062,96,0.0003,132,89.4,1000.0,0.006382995,0.9290903
,136000,,,,,,,,6770,3198,11.832574,196,20,222200,93.68027772,2916,2.630262068970813e-12,1.0107430660465166,0.9983492998866154,99,0.0003,136,93.7,1000.0,0.0057203043,0.8066072
,140000,,,,,,,,7033,3347,11.858243,202,19,230200,98.00363072000002,3021,2.6097689383558915e-12,1.0864538935007213,0.9407886187688547,103,0.0003,140,98.0,1000.0,0.006145503,0.8590369
1.5214041,140001,1.1081768417247402,11.829494,32.47546355973443,22,139.36388281818182,112.1,1000.0,,,,,,,,,,,,,,,,,,
,144000,,,,,,,,7320,3495,11.856979,208,19,238200,102.26683803,3126,2.7181118822755324e-12,1.066176201226389,1.0111729891169599,106,0.0003,144,102.3,1000.0,0.005336579,0.8135182
,148000,,,,,,,,7584,3643,11.869362,214,19,246200,106.19013986,3231,2.759547833380251e-12,1.0288396762453549,1.0014565424653246,110,0.0003,148,106.2,1000.0,0.0050568967,0.73186105
1.3944308,150001,0.8442573714110778,11.86844,33.29649098361576,22,143.20535345454547,122.9,1000.0,,,,,,,,,,,,,,,,,,
,152000,,,,,,,,7870,3791,11.580567,220,19,254200,110.12084481,3336,2.3086706523752904e-12,1.2407963206441008,1.2375976564089306,113,0.0003,152,110.1,1000.0,0.0050030164,0.8230428
,156000,,,,,,,,8134,3940,11.854731,225,19,262200,114.56461972999999,3441,2.5829695351322036e-12,1.5819763138278742,1.5505821517540985,116,0.0003,156,114.6,1000.0,0.0046097697,0.67194855
,160000,,,,,,,,8399,4089,12.021986,231,19,270200,118.62972432999999,3546,2.6566182186447013e-12,1.3596657422623872,1.3551553932575033,120,0.0003,160,118.6,1000.0,0.003962612,0.68397933
1.1811589,160001,0.8298767282051862,11.90624,32.58434479137406,22,143.022143,132.6,1000.0,,,,,,,,,,,,,,,,,,
,164000,,,,,,,,8686,4238,12.168045,237,18,278200,122.29471760000003,3651,2.494483115222298e-12,1.0680252668177075,1.0469665882866037,123,0.0003,164,122.3,1000.0,0.0036118627,0.61382544
,168000,,,,,,,,8951,4387,11.909748,243,18,286200,126.10353907000001,3756,2.5996464843333015e-12,1.2219163820897567,1.2152375892428073,127,0.0003,168,126.1,1000.0,0.005104387,0.8528086
1.1572574,170001,0.763912099348859,11.864233,33.32319730836994,22,143.99316681818183,137.3,1000.0,,,,,,,,,,,,,,,,,,
,172000,,,,,,,,9239,4536,12.026034,249,18,294200,129.22325395,3862,2.6373779623105723e-12,0.9928762181484476,0.9821899784186251,130,0.0003,172,129.2,1000.0,0.0029964307,0.56729645
,176000,,,,,,,,9503,4685,12.159478,255,18,302200,132.32423419,3967,2.566699630445796e-12,1.1834138638495613,1.1788863075771938,134,0.0003,176,132.3,1000.0,0.0033878458,0.66518575
,180000,,,,,,,,9768,4834,12.267481,261,18,310200,135.21852113,4072,2.598596841693661e-12,0.974392175953316,0.9626349862108599,137,0.0003,180,135.2,1000.0,0.0030120795,0.6134147
1.207879,180001,0.9589813554291813,11.758012,33.409824618185105,22,141.06601972727273,138.7,1000.0,,,,,,,,,,,,,,,,,,
,184000,,,,,,,,10056,4984,12.485591,267,18,318200,136.36693909999997,4177,2.5562596708888413e-12,1.0848711883631914,1.0554285786162652,141,0.0003,184,136.4,1000.0,0.002629307,0.623194
,188000,,,,,,,,10321,5133,11.947091,273,18,326200,137.63803681999997,4282,2.6488691349559213e-12,1.0111891811783025,0.9439550000768244,144,0.0003,188,137.6,1000.0,0.0031121264,0.67816377
1.1261925,190001,0.7373946228006768,11.790637,32.85965818763976,22,143.06347245454546,139.4,1000.0,,,,,,,,,,,,,,,,,,
,192000,,,,,,,,10608,5282,11.102561,279,18,334200,138.0680516,4387,2.7489185051200944e-12,1.7732952936131063,1.7731816618135527,148,0.0003,192,138.1,1000.0,0.0021921294,0.52288705
,196000,,,,,,,,10872,5431,12.300207,285,18,342200,138.34205885,4492,2.531875557466774e-12,1.101832542067228,1.09711738577071,151,0.0003,196,138.3,1000.0,0.0022017437,0.53909016
,200000,,,,,,,,11137,5580,12.23683,290,17,350200,138.77797214999998,4597,2.5888463754248305e-12,0.933438882198741,0.9285705189446166,155,0.0003,200,138.8,1000.0,0.002087832,0.5268016
1.1902617,200001,0.58099546210015,12.103296,33.33252683919,22,148.22220881818183,140.9,1000.0,,,,,,,,,,,,,,,,,,
,204000,,,,,,,,11424,5729,12.015757,296,17,358200,139.00766782999997,4703,2.6430615675647953e-12,1.5687635683307735,1.5622331215825467,158,0.0003,204,139.0,1000.0,0.0030932473,0.6742851
,208000,,,,,,,,11691,5879,12.620976,302,17,366200,139.32012834,4808,2.61213276203593e-12,1.1617433743698113,1.151651465357561,161,0.0003,208,139.3,1000.0,0.0027803122,0.65986395
1.2588227,210001,0.7329692235814549,12.196966,33.16249434179138,22,147.47083800000001,143.1,1000.0,,,,,,,,,,,,,,,,,,
,212000,,,,,,,,11978,6029,12.424244,308,17,374200,139.74411270000002,4913,2.7983633273752157e-12,1.0720788599928859,0.9973795238275579,165,0.0003,212,139.7,1000.0,0.0025987218,0.60152316
,216000,,,,,,,,12244,6178,12.5657,314,17,382200,140.22129283999996,5018,2.760401630930793e-12,1.132514093938204,1.1295347528232722,168,0.0003,216,140.2,1000.0,0.002006226,0.47792003
,220000,,,,,,,,12508,6328,12.433561,320,17,390200,140.63950142,5123,2.677605164659363e-12,1.4252358754677188,1.4005623078572873,172,0.0003,220,140.6,1000.0,0.0020539241,0.5015623
1.2275456,220001,0.8087614185602786,12.203383,33.056186439774585,22,146.6718379090909,143.9,1000.0,,,,,,,,,,,,,,,,,,
,224000,,,,,,,,12796,6477,12.675748,326,17,398200,141.03525254,5228,2.564175199433176e-12,1.0968173790893545,1.0906458068821578,175,0.0003,224,141.0,1000.0,0.0022690666,0.5495713
,228000,,,,,,,,13061,6626,12.323811,332,17,406200,141.30557688999997,5334,2.766953987966357e-12,1.1944618413524626,1.1717027174714296,179,0.0003,228,141.3,1000.0,0.0017886976,0.42614704
1.3855376,230001,0.8565658035895184,12.469543,33.13911900718639,22,148.93750354545455,144.9,1000.0,,,,,,,,,,,,,,,,,,
,232000,,,,,,,,13349,6776,12.484556,338,17,414200,141.70294405999996,5439,2.6232007341341665e-12,1.0284844520420993,0.9970193223066961,182,0.0003,232,141.7,1000.0,0.0019956047,0.5029498
,236000,,,,,,,,13614,6925,12.620872,344,17,422200,141.95976316999997,5544,2.5742806493732626e-12,1.0024678534429408,0.9955437631700876,186,0.0003,236,142.0,1000.0,0.0018042268,0.501407
,240000,,,,,,,,13879,7075,12.456574,349,17,430200,142.15754112000002,5649,2.579458207789449e-12,1.2976700965941848,1.29643181715358,189,0.0003,240,142.2,1000.0,0.0020626758,0.5256896
1.452997,240001,1.0203447785777742,12.339126,32.97228567938783,22,145.8303592727273,145.3,1000.0,,,,,,,,,,,,,,,,,,
,244000,,,,,,,,14168,7225,12.407164,355,17,438200,142.30236899000002,5754,2.644892124827122e-12,1.4082206186525246,1.4059485694628737,193,0.0003,244,142.3,1000.0,0.0020156852,0.5346189
,248000,,,,,,,,14433,7375,12.456039,361,17,446200,142.53316884,5859,2.7123133686958305e-12,1.0409480492257588,1.0390879544180978,196,0.0003,248,142.5,1000.0,0.001525433,0.4427642
1.3222786,250001,0.8572180133729674,12.402802,33.5911609406804,22,148.71109990909096,145.9,1000.0,,,,,,,,,,,,,,,,,,
,252000,,,,,,,,14720,7524,12.410489,367,17,454200,142.86154216,5964,2.574744415637183e-12,1.1489227562553879,1.148132798079986,199,0.0003,252,142.9,1000.0,0.0016620189,0.47649178
,256000,,,,,,,,14985,7673,12.417484,373,17,462200,143.07664735000003,6069,2.742260579139141e-12,1.4240157189633293,1.4099225769557393,203,0.0003,256,143.1,1000.0,0.0018516881,0.5055718
,260000,,,,,,,,15250,7822,12.393367,379,17,470200,143.28696678999998,6174,2.5449252324177238e-12,1.075238915263502,1.0508643067184928,206,0.0003,260,143.3,1000.0,0.0013664513,0.3807467
1.2574223,260001,0.7604524206997417,12.46698,32.85837680469123,22,149.59507381818182,146.5,1000.0,,,,,,,,,,,,,,,,,,
,264000,,,,,,,,15537,7971,12.400122,385,16,478200,143.60020088,6279,2.7874292303596476e-12,0.9986999448119844,0.9911362068971129,210,0.0003,264,143.6,1000.0,0.0020308169,0.5061039
,268000,,,,,,,,15803,8121,12.543608,391,16,486200,143.72150569000001,6385,2.5711993280405114e-12,1.0539789006336602,1.0486894057891065,213,0.0003,268,143.7,1000.0,0.0015937351,0.46563232
1.3003379,270001,0.8449078298448289,12.441272,33.39129976650241,22,149.02103054545455,147.4,1000.0,,,,,,,,,,,,,,,,,,
,272000,,,,,,,,16090,8271,12.236502,396,16,494200,143.94099548999998,6490,2.835938440937213e-12,1.4549489601635683,1.4368144845049158,217,0.0003,272,143.9,1000.0,0.0014631152,0.39912933
,276000,,,,,,,,16355,8420,12.352421,402,16,502200,144.15568924999997,6595,2.7004561996125263e-12,1.3372621062794383,1.3369360155790566,220,0.0003,276,144.2,1000.0,0.0012253697,0.41831428
,280000,,,,,,,,16620,8570,12.53476,408,16,510200,144.36232655,6700,2.565602944987748e-12,1.1088242645602242,1.10521447178972,224,0.0003,280,144.4,1000.0,0.0015506088,0.4005371
1.2224585,280001,0.7225570711614112,12.547932,33.17396029977445,22,151.09596336363637,148.3,1000.0,,,,,,,,,,,,,,,,,,
,284000,,,,,,,,16908,8719,12.4546175,414,16,518200,144.49622874,6805,2.5829848783717145e-12,1.048016530926013,1.0475476188102537,227,0.0003,284,144.5,1000.0,0.0015019879,0.42228156
,288000,,,,,,,,17173,8868,12.511334,420,16,526200,144.61682451,6910,2.5209670570272574e-12,1.0686770763848805,1.0672496610936038,231,0.0003,288,144.6,1000.0,0.0013185195,0.40228152
1.170269,290001,0.7737186167798604,12.17003,33.82652884766656,22,147.45137727272729,148.3,1000.0,,,,,,,,,,,,,,,,,,
,292000,,,,,,,,17461,9018,12.496389,426,16,534200,145.10472124,7015,2.6601287749587916e-12,1.0067924988218315,1.004747240631655,234,0.0003,292,145.1,1000.0,0.0013677027,0.38462055
,296000,,,,,,,,17726,9168,12.532829,432,16,542200,145.50811972999998,7120,2.544308238400499e-12,1.481662914520027,1.4806500882025915,238,0.0003,296,145.5,1000.0,0.0017053677,0.47951347
,300000,,,,,,,,17991,9317,12.412301,437,16,550200,145.71926833999999,7225,2.629575749614684e-12,1.012956409208636,1.006627659250874,241,0.0003,300,145.7,1000.0,0.001109306,0.33567825
1.3421806,300001,0.863392665534981,12.63494,32.989351553021585,22,150.37495100000004,148.6,1000.0,,,,,,,,,,,,,,,,,,
,304000,,,,,,,,18280,9467,12.848569,443,16,558200,146.02342389,7330,2.6237393546993115e-12,1.023896754241813,1.0172834150576258,244,0.0003,304,146.0,1000.0,0.001644051,0.5143331
,308000,,,,,,,,18545,9617,12.443895,449,16,566200,146.26584399,7435,2.6630865261790576e-12,0.9899576457492377,0.9715067295849873,248,0.0003,308,146.3,1000.0,0.0014740019,0.44845515
1.3028967,310001,0.8595549393860467,12.558018,32.851759241607,22,149.50787990909092,148.9,1000.0,,,,,,,,,,,,,,,,,,
,312000,,,,,,,,18833,9767,12.525121,455,16,574200,146.28928878,7540,2.7631396371396753e-12,1.620456658717103,1.6203421752490412,251,0.0003,312,146.3,1000.0,0.0011427175,0.3653653
,316000,,,,,,,,19098,9917,13.00416,461,16,582200,146.34890115000002,7645,2.5421861920599086e-12,1.085994726314221,1.0758069377106385,255,0.0003,316,146.3,1000.0,0.00090243726,0.31058702
,320000,,,,,,,,19364,10067,12.432523,467,16,590200,146.44197393000002,7751,2.6473837218416525e-12,1.0158647029843366,1.0138046359192356,258,0.0003,320,146.4,1000.0,0.0014442297,0.40792388
1.5641528,320001,1.1160044676139076,12.412341,33.49427336211601,22,146.12269109090906,148.6,1000.0,,,,,,,,,,,,,,,,,,
,324000,,,,,,,,19653,10217,12.511756,473,16,598200,146.43355332,7856,2.680932665770489e-12,1.6058408132427426,1.6032597240262916,262,0.0003,324,146.4,1000.0,0.0010487069,0.3738084
,328000,,,,,,,,19919,10368,12.609777,479,16,606200,146.4566855,7961,2.6333353155483042e-12,1.5067853872347492,1.506080422702929,265,0.0003,328,146.5,1000.0,0.0009410532,0.28839633
1.1996756,330001,0.7303203203634642,12.454931,34.13509984155099,22,151.03985990909092,149.1,1000.0,,,,,,,,,,,,,,,,,,
,332000,,,,,,,,20207,10518,12.489742,484,16,614200,146.44672906000002,8066,2.6783681798536286e-12,1.322573951736335,1.3202141974375392,269,0.0003,332,146.4,1000.0,0.0009949859,0.32782665
