#{"t_start": 1651790783.7468257, "env_id": "Hopper-v3"}
r,l,t
9.317791,15,6.464211
12.693826,14,6.486739
15.093274,18,6.512928
15.706477,16,6.535317
5.586603,12,6.556574
8.590488,11,6.575594
47.746635,35,6.907346
28.105306,34,6.956771
8.669911,22,7.00371
16.839236,19,7.034315
22.544743,21,7.090506
100.176286,60,7.166614
98.076616,66,7.292667
22.264915,45,7.362324
9.638197,11,7.38298
11.409931,16,7.451724
9.705464,14,7.475687
7.527542,11,7.492971
27.144149,28,7.530424
24.042215,29,7.573266
7.445833,10,7.636452
11.356825,18,7.65177
13.947459,26,7.673819
8.695784,13,7.688109
29.42766,33,7.718403
22.018682,20,7.786891
13.000262,17,7.805303
16.791829,23,7.827056
5.029229,9,7.839618
11.000418,16,7.855291
26.569594,39,7.943362
9.721562,27,7.972147
7.013748,14,7.98965
11.387884,26,8.013238
20.696917,24,8.096269
23.972743,47,8.139424
14.964208,23,8.167156
11.368768,20,8.255933
12.180885,34,8.288154
16.445996,29,8.317433
9.848729,12,8.333801
11.672979,24,8.426393
6.097853,11,8.440394
8.696151,13,8.453427
23.13156,21,8.474333
41.826902,37,8.509212
11.121417,19,8.610745
12.636172,27,8.635954
10.047424,13,8.652772
57.389006,42,8.69047
7.149809,23,8.800959
22.484228,29,8.829041
13.894765,34,8.863484
33.883644,29,8.893141
6.933813,13,9.000984
16.980371,27,9.026428
8.579216,11,9.041195
13.742548,16,9.05736
11.701215,21,9.077595
16.263245,20,9.195689
8.96833,11,9.209709
7.830058,12,9.222606
3.713952,7,9.230586
9.613806,16,9.246276
7.459009,15,9.262826
30.686245,44,9.411703
18.611992,39,9.451532
10.805447,17,9.47169
13.186579,21,9.493399
5.808337,9,9.504894
5.394285,10,9.633023
24.805821,28,9.658768
10.588424,13,9.676735
14.68244,23,9.698972
29.472333,26,9.724614
25.49559,25,9.878508
16.420694,22,9.902242
16.970137,23,9.925832
20.292581,20,9.946673
20.047857,25,10.105224
26.393931,22,10.130836
11.263826,19,10.151323
9.245323,14,10.170552
23.172765,35,10.345188
8.586805,13,10.364239
27.535816,23,10.386007
11.204823,22,10.408539
8.459375,14,10.424157
9.077194,14,10.4397
7.290899,10,10.450603
7.562995,17,10.616615
14.663068,23,10.63861
11.290426,14,10.655359
9.520075,24,10.678329
13.63124,23,10.701654
28.524431,27,10.885514
13.800679,15,10.904541
11.495949,14,10.918795
10.975742,14,10.933515
28.063541,26,10.957637
12.201709,13,11.141843
8.455408,20,11.162459
10.753878,22,11.187037
14.959134,20,11.215389
48.628479,41,11.499158
13.622096,17,11.531372
8.861115,12,11.551955
10.643906,12,11.568406
45.443218,47,11.629431
7.181896,11,11.898034
16.010989,23,11.928501
11.371111,15,11.952638
17.471524,20,11.981228
16.635714,16,12.006812
8.98105,15,12.029298
8.636171,13,12.31001
8.631822,13,12.332145
21.172891,19,12.359424
14.355431,17,12.383802
14.353026,21,12.413841
13.504964,21,12.71002
13.363453,23,12.741345
11.27628,13,12.763453
19.871948,24,12.79607
24.667291,26,12.833712
10.660801,19,13.059224
16.78326,30,13.088164
21.929826,23,13.112773
10.941035,13,13.129152
9.665128,12,13.142331
9.193841,13,13.155566
10.182034,13,13.376442
13.354749,16,13.393694
8.170775,12,13.406333
25.567951,26,13.43055
16.291647,23,13.45444
17.149493,17,13.689091
7.47858,11,13.701164
5.739472,13,13.714438
7.006928,13,13.728189
7.403893,18,13.747422
45.773477,35,13.780099
54.018698,33,14.033828
35.504344,29,14.063765
16.16023,19,14.085037
14.363538,28,14.342132
20.95513,24,14.367182
20.148141,19,14.387855
9.637323,17,14.407498
28.990588,27,14.433163
8.747033,16,14.687983
17.161146,24,14.711517
6.528177,11,14.726805
11.714379,16,14.742175
23.783587,24,14.764667
16.095072,18,15.033119
6.146338,13,15.049901
12.616482,27,15.075425
9.074118,16,15.093603
14.526215,16,15.11077
11.767226,15,15.127744
19.2021,20,15.405825
6.168602,9,15.417738
11.600217,14,15.432012
5.529264,9,15.443431
14.854924,20,15.463828
5.947757,10,15.475903
13.012198,15,15.489887
8.343327,13,15.504732
39.788517,38,15.810141
9.483363,11,15.825877
6.36532,12,15.838808
28.496011,25,15.863993
30.672855,38,16.17384
8.155729,17,16.195026
15.307792,23,16.217428
8.306807,15,16.235579
13.688517,15,16.250459
10.060542,15,16.57948
10.749211,17,16.604893
32.183245,40,16.65992
13.75222,15,16.687114
7.087611,11,16.704723
13.127801,24,17.12657
8.759821,17,17.154658
118.291074,78,17.652854
12.629373,18,17.69042
18.722609,18,17.716418
14.418563,17,17.743347
13.768209,20,17.7726
14.074703,25,18.194827
18.092445,22,18.21626
17.549258,33,18.249795
22.203553,23,18.272476
8.486132,11,18.284899
101.937396,60,18.642276
16.297305,17,18.667236
36.483554,32,19.002069
9.84791,16,19.020068
14.589586,23,19.042478
22.595988,38,19.07992
19.673427,26,19.42141
8.812032,11,19.434438
11.196091,15,19.449409
6.912377,9,19.460648
22.928705,23,19.481691
10.837199,24,19.506035
17.369482,17,19.847264
7.136658,11,19.86125
16.353619,16,19.876502
8.438891,20,19.896426
8.178923,10,19.907768
39.164751,30,19.936681
9.417115,16,20.291213
8.381023,11,20.303142
17.916347,18,20.321225
11.930089,20,20.342999
9.409864,13,20.357832
13.141178,18,20.375429
14.637647,24,20.747434
10.39262,20,20.770145
20.453081,29,20.797262
15.697711,28,20.827087
11.512647,15,21.19787
19.871611,24,21.222368
10.448442,13,21.237263
23.063699,24,21.261093
78.792443,53,21.671842
22.124809,20,21.69897
34.464001,27,21.726438
7.930407,20,21.748093
10.273717,19,22.25186
11.375738,15,22.276676
9.076207,20,22.306286
32.394404,38,22.354682
6.76555,11,22.3743
49.860592,42,22.935269
38.574624,41,22.994883
17.477109,19,23.025657
7.078655,17,23.551831
12.232733,25,23.574835
12.605073,16,23.590759
18.934548,33,23.61878
20.286771,21,24.016315
12.899713,13,24.032479
8.23305,14,24.046643
12.37144,17,24.06401
12.67644,15,24.079636
23.024074,31,24.1094
9.951759,15,24.514989
9.076965,14,24.529425
54.776778,50,24.573336
23.687212,21,24.599852
10.537406,17,25.008847
17.488844,19,25.028285
12.075596,13,25.042539
15.449262,16,25.059693
42.563855,41,25.497525
13.565105,29,25.528891
10.097394,14,25.546504
25.15376,36,25.580814
53.170301,36,26.036464
15.299727,24,26.063103
12.764875,15,26.079978
8.803255,13,26.09518
7.060699,10,26.107408
6.619086,12,26.11858
16.38008,22,26.570659
9.208237,13,26.587448
11.321948,17,26.605011
10.261583,12,26.618944
8.641153,12,26.631375
5.65695,8,26.642587
11.817473,17,26.658695
6.517636,10,27.107696
126.091438,69,27.188699
7.997962,12,27.220959
15.110725,17,27.242931
178.650266,112,28.586203
16.056692,19,28.632252
9.150778,13,28.654484
17.748209,19,28.681753
22.617105,21,28.713503
10.674723,32,29.20886
14.323792,15,29.227952
19.593892,25,29.252019
12.697519,17,29.270437
8.614143,13,29.284455
11.077377,13,29.299475
22.055018,23,29.774571
26.405636,24,29.798961
21.316298,18,29.817767
9.407167,11,29.831927
19.709885,22,29.851982
8.183956,12,30.323159
17.696614,25,30.347202
5.855897,9,30.362342
15.824964,17,30.379499
29.146878,35,30.411233
5.480592,8,30.892028
25.154307,27,30.918271
13.874605,17,30.939112
11.094216,21,30.959546
12.268674,22,30.981786
13.398708,18,31.492935
19.681569,34,31.524497
15.737029,25,31.551124
21.700505,37,32.077377
11.228356,14,32.097604
15.274725,17,32.114508
9.322625,17,32.132452
16.225823,24,32.157319
8.611215,18,32.177411
6.81825,15,32.770929
10.196083,17,32.794885
15.43057,32,32.838796
11.721867,14,32.865434
9.557269,17,32.893404
30.325708,41,33.638215
10.352744,14,33.665365
34.446715,41,33.721585
53.174835,61,34.408919
15.893057,23,34.438591
14.691397,28,34.466377
12.031661,24,34.998481
6.05951,12,35.012861
25.066911,31,35.041329
21.564615,22,35.064945
13.001057,17,35.599507
61.255808,41,35.637335
8.502911,13,35.65563
10.496664,13,35.669312
9.252558,16,35.686383
10.084739,23,36.230583
44.90481,35,36.263871
11.645814,14,36.28482
17.300124,17,36.305807
30.567739,27,36.882898
8.47986,12,36.89872
8.06312,11,36.911054
23.502583,39,36.946351
14.204066,21,36.970867
24.82025,30,37.553791
27.012561,29,37.583485
14.562141,23,37.609419
22.802601,45,38.333022
12.687568,17,38.362821
14.574257,16,38.384625
16.655194,19,38.416352
8.703307,12,38.435977
7.467639,21,38.466072
26.661274,28,39.266528
72.419296,53,39.344603
8.578606,10,39.371121
71.391122,54,40.028384
6.493228,9,40.045196
12.813494,15,40.061731
29.345827,29,40.088721
6.075973,14,40.669071
12.218785,13,40.682718
19.954982,32,40.714181
43.164053,32,40.747904
16.703856,18,41.336319
13.138347,20,41.35661
8.337559,11,41.370946
48.397292,43,41.40988
75.778624,60,42.060741
9.158557,27,42.092913
5.963941,9,42.106819
22.468087,19,42.124873
8.148611,12,42.74378
10.642602,14,42.758236
18.446957,18,42.776576
18.656771,22,42.799703
19.395048,19,42.81885
100.564059,59,43.581945
16.462342,19,43.61787
23.956759,22,43.649197
14.434727,21,43.677752
10.591503,24,44.537712
36.2101,30,44.579885
29.207081,28,44.621124
10.284538,18,44.649466
23.161108,30,45.343977
15.486482,20,45.368582
28.08738,39,45.403892
16.210213,35,46.053713
17.42456,25,46.085482
20.469179,26,46.113045
17.44704,19,46.134017
43.696306,40,46.785147
20.279805,29,46.816609
14.638829,15,46.835272
9.209413,13,46.850973
27.428757,36,47.525086
11.541755,16,47.545686
5.854017,13,47.561384
7.086016,11,47.573035
11.267627,17,47.590166
9.941147,14,47.605252
5.707192,12,48.2663
10.495337,16,48.283124
16.452554,18,48.301037
26.062812,38,48.335881
8.268146,29,49.21104
15.902678,16,49.237246
39.703065,51,49.301913
8.462554,13,49.327503
7.383852,9,49.344531
9.797057,13,50.245156
12.467792,15,50.258524
5.770299,8,50.267232
12.214198,13,50.280053
6.405443,14,50.292717
10.757608,18,50.308511
7.841228,14,50.321961
9.603412,15,50.99331
14.783553,19,51.012762
5.74947,13,51.027273
7.913119,17,51.044184
12.309398,14,51.060835
16.411948,33,51.75099
7.728926,10,51.764881
6.27671,9,51.774599
12.879524,17,51.791532
21.1196,26,51.815875
24.86192,30,51.845104
39.389526,41,52.565118
39.835602,45,52.609695
8.603137,12,52.62757
10.975811,13,53.335413
11.793519,15,53.350785
13.157341,20,53.370983
11.056699,20,53.391444
28.192798,29,53.419014
22.685995,23,54.238438
15.389855,36,54.289408
30.216536,38,54.342927
14.079726,18,55.320295
14.129723,20,55.347767
33.336874,30,55.390494
9.810992,25,55.427458
7.576662,11,55.445767
12.914344,21,56.190634
9.336759,15,56.209092
12.380378,27,56.235402
18.570786,24,56.260175
57.227213,52,57.00793
8.583125,12,57.02758
32.030314,28,57.052949
10.664205,15,57.071183
12.587119,18,57.802488
9.599898,20,57.823595
10.686279,23,57.845908
76.55472,73,59.709505
9.196243,19,59.747598
21.569453,30,59.789084
10.485221,17,59.816645
15.051998,19,60.850991
18.229705,23,60.87679
32.340499,31,60.904663
33.881988,25,60.927941
9.720782,17,61.671975
11.651319,16,61.688633
12.578998,37,61.72402
11.109949,19,61.745789
8.431539,12,61.759234
20.913618,21,62.5094
13.971249,19,62.531369
9.717103,13,62.54577
23.031525,25,62.571199
10.709446,12,62.585626
16.734126,24,62.610077
32.335779,28,63.397204
7.698046,17,63.417135
22.653634,19,63.436453
15.351207,17,63.456875
10.81567,18,63.475179
21.526066,22,64.280426
16.985789,21,64.302109
9.359492,15,64.319934
19.365798,34,64.352201
12.599065,18,65.370978
14.975242,18,65.397696
24.082074,30,65.438468
12.222227,14,65.462603
6.159435,18,65.488685
14.922834,21,66.491935
9.398022,16,66.511746
14.811369,18,66.53205
8.071556,10,66.545133
12.35193,13,66.558425
7.020883,11,66.571527
6.059192,13,66.585249
22.008799,32,67.386097
58.024906,47,67.430903
47.741768,36,68.249467
13.746091,20,68.273219
14.298071,18,68.292126
22.182276,22,68.314036
10.400774,16,68.332739
10.890789,15,68.348317
12.119495,15,69.175719
11.33432,14,69.190922
32.305061,33,69.221332
15.025577,17,69.240899
8.880232,11,69.253824
20.687873,24,70.150077
10.829642,29,70.192662
13.789232,21,70.225242
27.277738,25,70.270129
14.108141,21,71.408997
10.25169,15,71.434013
15.208166,23,71.46501
10.315358,16,71.491658
36.209069,37,71.540679
13.102731,19,72.383805
6.965022,9,72.394838
12.863443,26,72.418841
23.706988,26,72.444541
13.679012,26,73.284606
17.304757,21,73.307011
29.698907,28,73.334069
28.288781,34,73.366927
10.811256,19,74.237763
24.602429,33,74.268173
18.061268,18,74.289161
12.053523,15,74.304958
19.400325,35,75.196101
12.741865,33,75.228836
10.423209,18,75.24914
29.159781,38,75.284237
23.518276,29,76.486867
9.30847,13,76.510697
13.356788,19,76.53825
15.682241,19,76.565029
5.39758,30,77.552681
19.984206,29,77.582486
9.863654,12,77.597543
12.725157,15,77.613638
8.689163,11,77.627177
6.06044,17,77.644303
19.872827,23,78.506901
8.533905,11,78.519705
10.233424,12,78.532874
16.949428,18,78.55023
36.002094,38,78.58545
10.997999,13,79.476913
100.215271,62,79.534448
