eval_time_elapsed,eval mean 100 episode reward,eval_discount_q,eval_qs,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,total timesteps,fps,ep_rewmean,mean 100 episode reward,eplenmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,discount_q,episodes,env_time,act_time,qs_mean,n_updates,train_time,qfs_loss,q_grad_norm
1,155.9,104.50581393674223,-1.4063522,80.9090909090909,66.833015,156.41753018181817,-66.83300745162934,1,,,,,,,,,,,,,,,,,,
,,,,,,,,63,38,13.202842,13.2,15.75,-8.222516424123448,0.0003,1,8.222516424123448,0,9.036316643937083,4,0,0,0.27185982,0,0,,
,,,,,,,,155,75,17.85505,17.9,19.375,-10.851922362086313,0.0003,2,10.902207739038683,0,13.679566140320706,8,0,0,0.46183658,0,0,,
,,,,,,,,277,123,24.255881333333335,24.3,23.083333333333332,-46.08538764702151,0.0003,2,46.08538764702151,0,39.19788804078328,12,0,0,0.27030203,0,0,,
,,,,,,,,415,164,27.0287646875,27.0,25.9375,-4.405016087934837,0.0003,2,4.447627076889291,0,3.1504686150502317,16,0,0,0.4720999,0,0,,
,,,,,,,,497,187,25.04398025,25.0,24.85,-9.73067017366196,0.0003,2,9.73067017366196,0,12.512594883444347,20,0,0,0.40906575,0,0,,
,,,,,,,,564,204,22.596896083333334,22.6,23.5,-2.9079821704094186,0.0003,2,2.9530946453734157,0,4.843681069466074,24,0,0,0.5129041,0,0,,
,,,,,,,,657,226,22.27014067857143,22.3,23.464285714285715,-5.726830173057954,0.0003,2,6.040440824909101,0,7.675839315877484,28,0,0,0.51292896,0,0,,
,,,,,,,,748,245,21.1213981875,21.1,23.375,-0.9927916581952785,0.0003,3,2.302320935361687,0,4.911495433244372,32,0,0,0.74941546,0,0,,
,,,,,,,,859,267,20.526556499999998,20.5,23.86111111111111,-5.661332933172765,0.0003,3,7.331014874902201,0,11.17382533405121,36,0,0,0.5642278,0,0,,
,,,,,,,,965,284,19.847897275,19.8,24.125,-5.18101420874711,0.0003,3,5.18101420874711,0,6.888201042146009,40,1,0,0.54542,0,0,,
,,,,,,,,1025,290,18.86890006818182,18.9,23.295454545454547,-2.67026892348999,0.0003,3,2.8026673738518704,0,5.208077684144941,44,1,0,0.61469865,0,0,,
,,,,,,,,1129,304,19.144742791666665,19.1,23.520833333333332,-3.684904718338708,0.0003,3,3.6938858031596937,0,5.347831439352942,48,1,0,0.60102844,0,0,,
,,,,,,,,1236,316,19.53881001923077,19.5,23.76923076923077,-8.655179927735684,0.0003,3,8.677901795621922,0,9.148446968637012,52,1,0,0.47927165,0,0,,
,,,,,,,,1339,326,19.423405607142858,19.4,23.910714285714285,-5.6927053019786635,0.0003,4,5.6927053019786635,0,7.203697805658083,56,1,0,0.50159764,0,0,,
,,,,,,,,1407,329,18.966615633333337,19.0,23.45,-6.890542294638917,0.0003,4,6.901886888210146,1,9.224486930401973,60,1,0,0.45526487,0,0,,
,,,,,,,,1453,336,18.2519231875,18.3,22.703125,-2.9663175025399044,0.0003,4,3.042232491095705,1,6.752480793701591,64,1,0,0.6363238,0,0,,
,,,,,,,,1568,345,18.171849661764707,18.2,23.058823529411764,-3.151652110289067,0.0003,4,3.6366847647620704,1,3.8451979043915436,68,1,0,0.45059204,0,0,,
,,,,,,,,1636,345,17.845566652777777,17.8,22.72222222222222,-10.697549808292782,0.0003,4,10.697549808292782,1,14.653927251433963,72,1,0,0.44431475,0,0,,
,,,,,,,,1723,348,17.962099815789475,18.0,22.67105263157895,-12.544984585454602,0.0003,4,12.544984585454602,1,12.067805477787227,76,1,0,0.32430214,0,0,,
,,,,,,,,1813,350,17.9856356875,18.0,22.6625,-9.22320976592426,0.0003,5,9.22320976592426,1,9.268083733298027,80,1,0,0.434386,0,0,,
,,,,,,,,1903,351,17.9634130952381,18.0,22.654761904761905,-7.781903642169923,0.0003,5,7.980870698978038,1,11.787912978317587,84,1,0,0.47400463,0,0,,
,,,,,,,,1975,359,17.780835443181818,17.8,22.443181818181817,-2.6916789028149997,0.0003,5,2.6916789028149997,1,4.502123245864289,88,1,0,0.7050705,0,0,,
,,,,,,,,2039,357,17.427257336956522,17.4,22.16304347826087,-4.2895467565807435,0.0003,5,4.759646875393363,1,9.068194581297048,92,1,0,0.5263047,0,0,,
,,,,,,,,2127,357,17.357019239583334,17.4,22.15625,-13.78496048536728,0.0003,5,13.78496048536728,2,13.507209584086398,96,1,0,0.43076816,0,0,,
,,,,,,,,2196,364,17.30609758,17.3,21.96,-13.625734880646185,0.0003,6,13.625734880646185,2,16.02209726057914,100,2,0,0.32394984,0,0,,
,,,,,,,,2271,361,17.24168519,17.2,22.08,-6.261360550871214,0.0003,6,6.261360550871214,2,7.908188499740796,104,2,0,0.4970951,0,0,,
,,,,,,,,2353,354,17.15895083,17.2,21.98,-5.444137487897625,0.0003,6,5.444137487897625,2,4.975653823095578,108,2,0,0.30047607,0,0,,
,,,,,,,,2449,348,16.476721210000004,16.5,21.72,-4.480496708599367,0.0003,7,4.5438044621204625,2,4.76163233518913,112,2,0,0.3937936,0,0,,
,,,,,,,,2513,340,15.580069210000003,15.6,20.98,-3.2962194552463964,0.0003,7,3.300151195019157,2,4.919905303692309,116,2,0,0.5820725,0,0,,
,,,,,,,,2583,344,15.48100721,15.5,20.86,-5.396176596142601,0.0003,7,5.432329669502677,2,8.100595912766732,120,2,0,0.4618834,0,0,,
