#{"t_start": 1651883779.9406927, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
45.299534,5,6.050719
73.203082,8,6.061144
54.179324,6,6.074651
44.727557,5,6.090014
72.710984,8,6.114051
53.994284,6,6.131706
82.372875,9,6.154375
36.18307,4,6.165419
35.992966,4,6.174582
35.719646,4,6.18328
54.761807,6,6.194035
35.691097,4,6.200341
36.203281,4,6.206569
35.96614,4,6.212212
45.163237,5,6.226104
72.874421,8,6.247091
44.925514,5,6.26518
36.116686,4,6.277141
63.598439,7,6.596616
45.294799,5,6.608043
73.560167,8,6.62814
82.723376,9,6.654991
101.418238,11,6.683222
72.870212,8,6.6998
73.284018,8,6.723194
35.640493,4,6.734137
45.149005,5,6.745039
45.460851,5,6.755609
73.206215,8,6.779139
63.572392,7,6.795285
54.391695,6,6.811617
63.532611,7,6.827906
63.679603,7,6.924205
35.845252,4,6.936176
35.874119,4,6.946896
73.305723,8,6.965489
35.702237,4,6.983509
63.47671,7,6.999114
45.289003,5,7.01415
45.499011,5,7.028462
35.774688,4,7.042785
82.728954,9,7.063218
54.511926,6,7.083234
45.566708,5,7.099214
63.679959,7,7.118408
63.675751,7,7.138784
35.755669,4,7.152466
45.164342,5,7.159891
63.92404,7,7.178618
64.073977,7,7.31328
35.615624,4,7.328775
45.220141,5,7.342035
45.22157,5,7.359735
45.475131,5,7.374251
63.990319,7,7.390281
54.318811,6,7.405521
44.679057,5,7.41679
72.88084,8,7.43915
72.977911,8,7.459553
63.405583,7,7.480923
72.897244,8,7.499855
36.090212,4,7.506869
45.018812,5,7.514082
73.509045,8,7.531839
54.258188,6,7.550023
36.059451,4,7.563802
54.41997,6,7.750333
45.371514,5,7.763754
45.283825,5,7.778449
45.571667,5,7.795098
54.264822,6,7.808788
54.261871,6,7.821231
63.843459,7,7.843035
54.253796,6,7.858654
72.867821,8,7.880555
35.928216,4,7.893411
36.129252,4,7.906756
54.174866,6,7.924564
44.795438,5,7.938869
54.640143,6,7.956095
36.172932,4,7.969557
45.368846,5,7.981977
35.568968,4,7.995505
54.522515,6,8.00783
35.969854,4,8.020823
45.395844,5,8.249366
54.348888,6,8.264277
82.445689,9,8.281451
54.009017,6,8.292961
54.699872,6,8.310577
36.275152,4,8.324612
45.212348,5,8.335883
35.623194,4,8.349688
73.194641,8,8.372571
110.027774,12,8.400596
45.243653,5,8.417796
63.828705,7,8.436669
63.629641,7,8.447589
45.058854,5,8.454494
44.962214,5,8.460696
35.710945,4,8.467232
54.815113,6,8.723456
54.331891,6,8.739793
45.554872,5,8.754472
54.757993,6,8.776653
63.562781,7,8.796676
82.309821,9,8.821692
54.786448,6,8.840117
73.130481,8,8.861237
36.216773,4,8.870995
54.716329,6,8.878136
44.746941,5,8.88587
73.355166,8,8.910226
64.199207,7,8.927438
45.325014,5,8.944642
54.510789,6,8.959128
36.140002,4,8.972009
45.107018,5,8.988266
44.886555,5,9.282133
63.577146,7,9.302414
36.181089,4,9.316135
45.378835,5,9.329721
100.981148,11,9.357631
101.712014,11,9.387604
63.858048,7,9.410089
54.949288,6,9.428187
73.695526,8,9.44608
45.609727,5,9.462949
54.216377,6,9.4796
72.902185,8,9.495716
44.763581,5,9.511866
45.341719,5,9.52379
54.6741,6,9.541373
36.293521,4,9.875292
64.084262,7,9.895214
53.896011,6,9.918555
63.414407,7,9.942857
54.164541,6,9.962445
54.897891,6,9.981965
45.10394,5,9.999552
82.518956,9,10.025749
54.653957,6,10.047993
35.893674,4,10.060085
35.943016,4,10.07358
44.925347,5,10.085074
82.617255,9,10.107566
91.381396,10,10.13596
91.464174,10,10.166321
45.154358,5,10.580677
64.139611,7,10.600497
